SUNo|Tile
SU2081|3.00
SU2082|1.00
SU2085|1.00
SU2107|1.00
SU2112|1.00
SU2124|7.00
SU2125|2.00
SU2126|3.00
SU2127|1.00
SU2128|18.00
SU2129|7.00
SU2130|4.00
SU2131|1.00
SU2132|3.00
SU2133|5.00
SU2134|6.00
SU2135|3.00
SU2136|1.00
SU2137|1.00
SU2138|1.00
SU2139|7.00
SU2140|10.00
SU2141|13.00
SU2142|1.00
SU2160|25.00
SU2161|11.00
SU2162|10.00
SU2163|4.00
SU2164|9.00
SU2176|1.00
SU2177|1.00
SU2178|1.00
SU2187|31.00
SU2189|2.00
SU2190|2.00
SU2191|8.00
SU2301|1.00
SU2302|12.00
SU2303|3.00
SU2305|6.00
SU2326|1.00
SU2327|2.00
SU2351|1.00
SU2603|3.00
SU2604|15.00
SU2605|22.00
SU2606|7.00
SU2617|1.00
SU2620|1.00
SU2621|1.00
SU2624|6.00
SU2625|2.00
SU2632|30.00
SU2633|3.00
SU2634|11.00
SU2635|16.00
SU2636|5.00
SU2637|4.00
SU2638|7.00
SU2639|10.00
SU2640|5.00
SU2641|13.00
SU2642|15.00
SU2643|6.00
SU2644|5.00
SU2645|2.00
SU2646|2.00
SU2647|3.00
SU2648|13.00
SU2652|5.00
SU2653|7.00
SU2654|3.00
SU2655|5.00
SU2656|7.00
SU2657|11.00
SU2658|3.00
SU2659|13.00
SU2660|9.00
SU2669|2.00
SU2909|1.00
SU2914|10.00
SU2915|6.00
SU2925|4.00
SU2926|5.00
SU2927|10.00
SU2928|4.00
SU2948|1.00
SU2950|1.00
SU2951|1.00
SU2963|1.00
SU2964|13.00
SU2965|1.00
SU3008|1.00
SU3013|1.00
SU3024|1.00
SU3026|1.00
SU3037|1.00
SU3070|1.00
SU3073|1.00
SU3075|2.00
SU3095|3.00
SU3098|2.00
