SUNo|Dho|NotDho
SU1322||1.00
SU1322|1.00|
SU1325||1.00
SU1326||1.00
SU1326|2.00|
SU1328||2.00
SU1328|1.00|
SU1328||1.00
SU1329||1.00
SU1330|1.00|
SU1330||1.00
SU1330||4.00
SU1330||1.00
SU1344||1.00
SU1345||1.00
SU1351||1.00
SU1352||1.00
SU1352||1.00
SU1372||1.00
SU1374||1.00
SU1379||1.00
SU1380||1.00
SU1380||1.00
SU1380||1.00
SU1381||1.00
SU1381||1.00
SU1381||1.00
SU1381|1.00|
SU1381||1.00
SU1381||1.00
SU1381||1.00
SU1381||1.00
SU1382||1.00
SU1382||2.00
SU1383||1.00
SU1383||1.00
SU1383||1.00
SU1384|1.00|
SU1602||4.00
SU1602||1.00
SU1602||1.00
SU1604||1.00
SU1604||1.00
SU1605||2.00
SU1605||1.00
SU1605||5.00
SU1605||1.00
SU1605||1.00
SU1607||2.00
SU1610||1.00
SU1611||4.00
SU1612||1.00
SU1612||1.00
SU1613||2.00
SU1620||2.00
SU1621||2.00
SU1622||2.00
SU1623||2.00
SU1623|1.00|
SU1624||1.00
SU1624||1.00
SU1625||1.00
SU1625||1.00
SU1626||1.00
SU1627||1.00
SU1629||1.00
SU1629||1.00
SU1630||3.00
SU1630||1.00
SU1631||1.00
SU1631|1.00|
SU1632||1.00
SU1632||1.00
SU1633||1.00
SU1634||1.00
SU1638||1.00
SU1638||1.00
SU1638||1.00
SU1639||1.00
SU1639|1.00|
SU1639||1.00
SU1640||1.00
SU1640||1.00
SU1640||1.00
SU1640||1.00
SU1640||1.00
SU1640||1.00
SU1642||1.00
SU1642||1.00
SU1644||1.00
SU1644||3.00
SU1647||1.00
SU1647||1.00
SU1648||1.00
SU1648||1.00
SU1648||2.00
SU1648||1.00
SU1648||1.00
SU1648||1.00
SU1648||1.00
SU1648||1.00
SU1649||2.00
SU1649||2.00
SU1649||1.00
SU1649||3.00
SU1649||1.00
SU1650||1.00
SU1650||1.00
SU1650||1.00
SU1650||1.00
SU1650||1.00
SU1650||1.00
SU1651||1.00
SU1651||2.00
SU1651||1.00
SU1651||2.00
SU1651||3.00
SU1651||9.00
SU1651|3.00|
SU1651||1.00
SU1651||7.00
SU1651||1.00
SU1651||2.00
SU1652||2.00
SU1652||1.00
SU1652||1.00
SU1652||5.00
SU1653||1.00
SU1653||1.00
SU1654||2.00
SU1654||1.00
SU1654||3.00
SU1654||1.00
SU1654||1.00
SU1654||1.00
SU1655||1.00
SU1655||3.00
SU1656||1.00
SU1656||7.00
SU1657||3.00
SU1657||4.00
SU1657||1.00
SU1657||4.00
SU1657||1.00
SU1658||1.00
SU1658||2.00
SU1658|1.00|
SU1658||1.00
SU1658||1.00
SU1659||1.00
SU1659||1.00
SU1659||1.00
SU1660||1.00
SU1660||1.00
SU1660||1.00
SU1661||1.00
SU1662||1.00
SU1664||2.00
SU1666||1.00
SU1666||1.00
SU1666||1.00
SU1667||1.00
SU1667||1.00
SU1668||1.00
SU1668||3.00
SU1668||1.00
SU1668||1.00
SU1669|1.00|
SU1669||2.00
SU1669||1.00
SU1673||1.00
SU1673||1.00
SU1673||1.00
SU1676||2.00
SU1676||1.00
SU1676||1.00
SU1676||3.00
SU1676||1.00
SU1676||1.00
SU1676||1.00
SU1676||1.00
SU1677||3.00
SU1677||1.00
SU1677||2.00
SU1677||1.00
SU1677||12.00
SU1677|1.00|
SU1677||2.00
SU1677||5.00
SU1677||1.00
SU1677||2.00
SU1679||1.00
SU1680||1.00
SU1684||1.00
SU1687|1.00|
SU1688||1.00
SU1688||1.00
SU1690||1.00
SU1690||4.00
SU1690||1.00
SU1690||1.00
SU1690||5.00
SU1690||1.00
SU1690||4.00
SU1691||1.00
SU1691||1.00
SU1691||1.00
SU1691||4.00
SU1691||1.00
SU1691||3.00
SU1691||4.00
SU1692||1.00
SU1692||1.00
SU1692||2.00
SU1692||2.00
SU1692||2.00
SU1693||1.00
SU1693||1.00
SU1693||1.00
SU1693||2.00
SU1694||1.00
SU1694||2.00
SU1694||1.00
SU1694||2.00
SU1694||1.00
SU1695||1.00
SU1695||1.00
SU1695||2.00
SU1695||1.00
SU1695||1.00
SU1695||1.00
SU1695||3.00
SU1695||2.00
SU1695||1.00
SU1696||1.00
SU1697||2.00
SU1697||7.00
SU1697||1.00
SU1697||3.00
SU1697||2.00
SU1698||3.00
SU1698||1.00
SU1699||1.00
SU1699||1.00
SU1699||1.00
SU1699||1.00
SU1700||1.00
SU1700||2.00
SU1701||1.00
SU1702||1.00
SU1702||1.00
SU1703||1.00
SU1703||1.00
SU1706|1.00|
SU1706||1.00
SU1707||1.00
SU1707||1.00
SU1707||1.00
SU1708||2.00
SU1708||2.00
SU1708||1.00
SU1708||1.00
SU1709||2.00
SU1908||1.00
SU1908||1.00
SU1908||1.00
SU1908||1.00
SU1909||1.00
SU1911||1.00
SU1911||1.00
SU1912||1.00
SU1913||1.00
SU1913||1.00
SU1915||1.00
SU1915||1.00
SU1915||1.00
SU1917||1.00
SU1920|2.00|
SU2002||1.00
SU2004||2.00
SU2006||10.00
SU2006||1.00
SU2012||10.00
SU2012||1.00
SU2015||1.00
SU2016|3.00|
SU2016||1.00
SU2017||1.00
SU2017|1.00|
SU2017||1.00
SU2017||1.00
SU2021||1.00
SU2024||1.00
SU2024|1.00|
SU2027||1.00
SU2028||1.00
SU2028||1.00
SU2028||3.00
SU2028||1.00
SU2028||1.00
SU2028||1.00
SU2029||1.00
SU2029||1.00
SU2029||2.00
SU2029||1.00
SU2029||1.00
SU2029||1.00
SU2030||2.00
SU2030||1.00
SU2030||1.00
SU2031||1.00
SU2031||1.00
SU2031||1.00
SU2033||1.00
SU2034||1.00
SU2034||2.00
SU2034||3.00
SU2034||2.00
SU2034||2.00
SU2034||1.00
SU2037||1.00
SU2037||3.00
SU2037||1.00
SU2041||1.00
SU2042||1.00
SU2046||1.00
SU2050||2.00
SU2052||1.00
SU2053||1.00
SU2056||2.00
SU2056||1.00
SU2056||1.00
SU2057||1.00
SU2058||1.00
SU2060||2.00
SU2064||1.00
SU2064|1.00|
SU2066||1.00
SU2068||1.00
SU2068||1.00
SU2069||1.00
SU2069||1.00
SU2069||1.00
SU2069||1.00
SU2070||1.00
SU2070|1.00|
SU2078||3.00
SU2078||1.00
SU2082||1.00
SU2083||9.00
SU2085||3.00
SU2085||1.00
SU2085||1.00
SU2085||1.00
SU2096||1.00
SU2104||14.00
SU2104||1.00
SU2104||2.00
SU2104||1.00
SU2104||1.00
SU2105||1.00
SU2117||1.00
SU2131||1.00
SU2131||1.00
SU2134||1.00
SU2134||1.00
SU2135||1.00
SU2138||1.00
SU2139||1.00
SU2148||1.00
SU2151||1.00
SU2162||1.00
SU2171||2.00
SU2172||1.00
SU2173|1.00|
SU2173||1.00
SU2175||1.00
SU2176||1.00
SU2176||1.00
SU2177||1.00
SU2177||1.00
SU2177||1.00
SU2178||1.00
SU2180||2.00
SU2182||1.00
SU2187||1.00
SU2187||1.00
SU2187||3.00
SU2187||1.00
SU2187||1.00
SU2187||1.00
SU2187||1.00
SU2189||1.00
SU2190||1.00
SU2304||2.00
SU2384||3.00
SU2384||1.00
SU2385||5.00
SU2385||3.00
SU2385||2.00
SU2386||10.00
SU2386||1.00
SU2386||1.00
SU2387||3.00
SU2387||2.00
SU2387||1.00
SU2388||6.00
SU2388||1.00
SU2388||1.00
SU2389||1.00
SU2389|1.00|
SU2389||1.00
SU2390||2.00
SU2390||1.00
SU2390||4.00
SU2391||2.00
SU2601||12.00
SU2601||3.00
SU2601||2.00
SU2601||1.00
SU2601||3.00
SU2601||4.00
SU2602||2.00
SU2603||1.00
SU2603||1.00
SU2604||1.00
SU2604|1.00|
SU2604||1.00
SU2605||1.00
SU2605||1.00
SU2605||1.00
SU2606||1.00
SU2606||1.00
SU2607||1.00
SU2607||1.00
SU2611||1.00
SU2632||2.00
SU2632||1.00
SU2632||1.00
SU2633||2.00
SU2633||1.00
SU2634||1.00
SU2635||1.00
SU2635||1.00
SU2641||2.00
SU2641||1.00
SU2642||1.00
SU2642||1.00
SU2643||1.00
SU2643||1.00
SU2643||1.00
SU2647||1.00
SU2655||1.00
SU2901||3.00
SU2901||1.00
SU2901||1.00
SU2901||1.00
SU2901||1.00
SU2901||1.00
SU2904||1.00
SU2904||1.00
SU2904||1.00
SU2905||1.00
SU2909||2.00
SU2909||1.00
SU2909||1.00
SU2909||1.00
SU2910||1.00
SU2911||1.00
SU2911||1.00
SU2913||1.00
SU2913||1.00
SU2913||1.00
SU2913||1.00
SU2913||1.00
SU2914||1.00
SU2914||1.00
SU2914||1.00
SU2914||1.00
SU2914||1.00
SU2914||1.00
SU2915||5.00
SU2915||1.00
SU2915||1.00
SU2915||2.00
SU2919||1.00
SU2919||1.00
SU2919||6.00
SU2919||1.00
SU2919||1.00
SU2920||1.00
SU2921||3.00
SU2922||1.00
SU2924||1.00
SU2925||1.00
SU2925|1.00|
SU2927||2.00
SU2937||1.00
SU2942||1.00
SU2942||1.00
SU2942||1.00
SU2942||1.00
SU2944||1.00
SU2944||1.00
SU2944||1.00
SU2944||1.00
SU2944||3.00
SU2945||1.00
SU2945||1.00
SU2954||1.00
SU2957||1.00
SU2960||1.00
SU2961||1.00
SU2962||1.00
SU2962||2.00
SU2962||2.00
SU2964||1.00
SU2964|1.00|
SU2965||1.00
SU3006||1.00
SU3008|1.00|
SU3013||1.00
SU3016||1.00
SU3018||1.00
SU3018||1.00
SU3023||1.00
SU3026||3.00
SU3026||1.00
SU3026||1.00
SU3026||1.00
SU3026||1.00
SU3027||1.00
SU3027||2.00
SU3027||1.00
SU3027||1.00
SU3028||1.00
SU3028||1.00
SU3028||1.00
SU3032||1.00
SU3032||1.00
SU3033||1.00
SU3034||1.00
SU3034||1.00
SU3034||1.00
SU3034||1.00
SU3035||1.00
SU3036||1.00
SU3036||1.00
SU3036|1.00|
SU3036||1.00
SU3036||1.00
SU3037||1.00
SU3037||1.00
SU3037||1.00
SU3037||1.00
SU3038||1.00
SU3038||1.00
SU3039||1.00
SU3039||1.00
SU3039||1.00
SU3041||1.00
SU3044||1.00
SU3045||1.00
SU3045||1.00
SU3045||1.00
SU3045||1.00
SU3045||1.00
SU3046||1.00
SU3046||1.00
SU3047||1.00
SU3047||2.00
SU3050||1.00
SU3051||2.00
SU3053||2.00
SU3053||1.00
SU3054||1.00
SU3055||1.00
SU3056||1.00
SU3056||1.00
SU3056||1.00
SU3057||1.00
SU3058||2.00
SU3058||1.00
SU3058||1.00
SU3059||1.00
SU3059||3.00
SU3059||1.00
SU3060||1.00
SU3060||1.00
SU3060||1.00
SU3061||1.00
SU3062||1.00
SU3062||1.00
SU3063||1.00
SU3064||1.00
SU3067||1.00
SU3069||1.00
SU3070||1.00
SU3073||1.00
SU3073||1.00
SU3074||1.00
SU3074||1.00
SU3074||1.00
SU3074||1.00
SU3079|1.00|
SU3081|1.00|
SU3083|1.00|
SU3086||1.00
SU3087||1.00
SU3087||1.00
SU3087||1.00
SU3097||3.00
SU3097||1.00
SU3097||1.00
SU3098||1.00
SU3100||5.00
SU3100||1.00
SU3200||1.00
