SUNo|Cat|SumOfNoPieces
SU1623|To|1.00
SU1624|To|2.00
SU1625|GS|1.00
SU1625|To|1.00
SU1626|Co|1.00
SU1627|To|1.00
SU1629|Co|1.00
SU1629|De|1.00
SU1630|To|1.00
SU1631|To|1.00
SU1632|Bl|1.00
SU1634|De|1.00
SU1638|Bl|1.00
SU1638|To|1.00
SU1639|De|1.00
SU1639|To|2.00
SU1640|Bl|1.00
SU1640|Co|2.00
SU1640|De|1.00
SU1640|To|1.00
SU1642|Co|1.00
SU1642|De|1.00
SU1644|De|3.00
SU1647|To|1.00
SU1648|Bl|2.00
SU1648|Co|2.00
SU1648|De|3.00
SU1648|To|2.00
SU1649|Bl|3.00
SU1649|De|5.00
SU1649|To|1.00
SU1650|Bl|1.00
SU1650|Co|1.00
SU1650|De|1.00
SU1650|To|3.00
SU1651|Bl|7.00
SU1651|Co|2.00
SU1651|De|11.00
SU1651|To|11.00
SU1652|De|6.00
SU1652|GS|1.00
SU1652|To|1.00
SU1653|Bl|1.00
SU1653|GS|1.00
SU1654|Bl|2.00
SU1654|Co|1.00
SU1654|De|3.00
SU1654|GS|1.00
SU1654|To|1.00
SU1655|Bl|1.00
SU1655|De|3.00
SU1656|De|7.00
SU1656|To|1.00
SU1657|Bl|2.00
SU1657|De|8.00
SU1657|GS|1.00
SU1658|De|3.00
SU1658|To|3.00
SU1659|Bl|1.00
SU1659|De|2.00
SU1660|De|1.00
SU1660|To|1.00
SU1661|To|1.00
SU1662|To|1.00
SU1664|GS|1.00
SU1666|Co|1.00
SU1666|GS|1.00
SU1666|To|1.00
SU1667|De|1.00
SU1667|To|1.00
SU1668|Bl|2.00
SU1668|De|3.00
SU1669|Co|1.00
SU1669|To|3.00
SU1673|Co|2.00
SU1673|De|1.00
SU1676|Bl|1.00
SU1676|Co|1.00
SU1676|De|3.00
SU1676|To|4.00
SU1677|Bl|2.00
SU1677|Co|10.00
SU1677|De|13.00
SU1677|To|2.00
SU1679|To|1.00
SU1680|To|1.00
SU1687|To|1.00
SU1688|De|1.00
SU1688|To|1.00
SU1690|Bl|2.00
SU1690|Co|8.00
SU1690|De|6.00
SU1690|To|1.00
SU1691|Bl|4.00
SU1691|Co|4.00
SU1691|De|6.00
SU1692|Bl|4.00
SU1692|Co|2.00
SU1692|To|2.00
SU1693|Bl|2.00
SU1693|De|1.00
SU1693|To|2.00
SU1694|Bl|4.00
SU1694|Co|1.00
SU1694|To|1.00
SU1695|Bl|5.00
SU1695|Co|2.00
SU1695|De|3.00
SU1695|To|2.00
SU1696|De|1.00
SU1697|Bl|1.00
SU1697|Co|3.00
SU1697|De|11.00
SU1698|De|1.00
SU1699|To|4.00
SU1700|De|1.00
SU1700|To|2.00
SU1702|To|1.00
SU1703|De|1.00
SU1703|GS|1.00
SU1706|Co|1.00
SU1706|To|1.00
SU1707|Co|1.00
SU1707|De|1.00
SU1707|To|1.00
SU1708|Bl|2.00
SU1708|De|2.00
SU1708|To|2.00
SU1709|De|2.00
SU1908|Bl|1.00
SU1908|Co|1.00
SU1908|De|1.00
SU1908|To|1.00
SU1911|Co|1.00
SU1911|De|1.00
SU1912|GS|1.00
SU1913|GS|1.00
SU1913|To|1.00
SU1915|GS|1.00
SU1915|To|2.00
SU1920|To|2.00
SU2004|GS|1.00
SU2006|Co|1.00
SU2006|GS|10.00
SU2012|Co|1.00
SU2012|GS|5.00
SU2015|De|1.00
SU2016|To|4.00
SU2017|De|1.00
SU2017|To|3.00
SU2021|GS|1.00
SU2024|Co|1.00
SU2024|To|1.00
SU2027|To|1.00
SU2028|Bl|1.00
SU2028|Co|4.00
SU2028|De|3.00
SU2029|Bl|3.00
SU2029|Co|2.00
SU2029|De|1.00
SU2030|Bl|1.00
SU2030|Co|1.00
SU2030|De|2.00
SU2031|Co|3.00
SU2033|Bl|1.00
SU2034|Bl|3.00
SU2034|Co|4.00
SU2034|De|4.00
