SUNo|Bl|Co|De|GS|To
SU1640|1.00||||
SU1640||2.00|||
SU1640|||1.00||
SU1640|||||1.00
SU1642||1.00|||
SU1642|||1.00||
SU1644|||3.00||
SU1647|||||1.00
SU1648|2.00||||
SU1648||2.00|||
SU1648|||3.00||
SU1648|||||2.00
SU1649|3.00||||
SU1649|||5.00||
SU1649|||||1.00
SU1650|1.00||||
SU1650||1.00|||
SU1650|||1.00||
SU1650|||||3.00
SU1651|7.00||||
SU1651||2.00|||
SU1651|||11.00||
SU1651|||||11.00
SU1652|||6.00||
SU1652||||1.00|
SU1652|||||1.00
SU1653|1.00||||
SU1653||||1.00|
SU1654|2.00||||
SU1654||1.00|||
SU1654|||3.00||
SU1654||||1.00|
SU1654|||||1.00
SU1655|1.00||||
SU1655|||3.00||
SU1656|||7.00||
SU1656|||||1.00
SU1657|2.00||||
SU1657|||8.00||
SU1657||||1.00|
SU1658|||3.00||
SU1658|||||3.00
SU1659|1.00||||
SU1659|||2.00||
SU1660|||1.00||
SU1660|||||1.00
SU1661|||||1.00
SU1662|||||1.00
SU1664||||1.00|
SU1666||1.00|||
SU1666||||1.00|
SU1666|||||1.00
SU1667|||1.00||
SU1667|||||1.00
SU1668|2.00||||
SU1668|||3.00||
SU1669||1.00|||
SU1669|||||3.00
SU1673||2.00|||
SU1673|||1.00||
SU1676|1.00||||
SU1676||1.00|||
SU1676|||3.00||
SU1676|||||4.00
SU1677|2.00||||
SU1677||10.00|||
SU1677|||13.00||
SU1677|||||2.00
SU1679|||||1.00
SU1680|||||1.00
SU1687|||||1.00
SU1688|||1.00||
SU1688|||||1.00
SU1690|2.00||||
SU1690||8.00|||
SU1690|||6.00||
SU1690|||||1.00
SU1691|4.00||||
SU1691||4.00|||
SU1691|||6.00||
SU1692|4.00||||
SU1692||2.00|||
SU1692|||||2.00
SU1693|2.00||||
SU1693|||1.00||
SU1693|||||2.00
SU1694|4.00||||
SU1694||1.00|||
SU1694|||||1.00
SU1695|5.00||||
SU1695||2.00|||
SU1695|||3.00||
SU1695|||||2.00
SU1696|||1.00||
SU1697|1.00||||
SU1697||3.00|||
SU1697|||11.00||
SU1698|||1.00||
SU1699|||||4.00
SU1700|||1.00||
SU1700|||||2.00
SU1702|||||1.00
SU1703|||1.00||
SU1703||||1.00|
SU1706||1.00|||
SU1706|||||1.00
SU1707||1.00|||
SU1707|||1.00||
SU1707|||||1.00
SU1708|2.00||||
SU1708|||2.00||
SU1708|||||2.00
SU1709|||2.00||
SU1908|1.00||||
SU1908||1.00|||
SU1908|||1.00||
SU1908|||||1.00
SU1911||1.00|||
SU1911|||1.00||
SU1912||||1.00|
SU1913||||1.00|
SU1913|||||1.00
SU1915||||1.00|
SU1915|||||2.00
SU1920|||||2.00
SU2004||||1.00|
SU2006||1.00|||
SU2006||||10.00|
SU2012||1.00|||
SU2012||||5.00|
SU2015|||1.00||
SU2016|||||4.00
SU2017|||1.00||
SU2017|||||3.00
SU2021||||1.00|
SU2024||1.00|||
SU2024|||||1.00
SU2027|||||1.00
SU2028|1.00||||
SU2028||4.00|||
SU2028|||3.00||
SU2029|3.00||||
SU2029||2.00|||
SU2029|||1.00||
SU2030|1.00||||
SU2030||1.00|||
SU2030|||2.00||
SU2031||3.00|||
SU2033|1.00||||
SU2034|3.00||||
SU2034||4.00|||
SU2034|||4.00||
SU2037|1.00||||
SU2037||1.00|||
SU2037|||3.00||
SU2041|||1.00||
SU2042||1.00|||
SU2050|||2.00||
SU2052|||1.00||
SU2053|||1.00||
SU2056||2.00|||
SU2056|||2.00||
SU2057|||1.00||
SU2058|1.00||||
SU2060||||1.00|
SU2064|||1.00||
SU2064|||||1.00
