SUNo|Bl|Co|De
SU2921|||3.00
SU2922||1.00|
SU2925|||1.00
SU2937||1.00|
SU2942|1.00|1.00|1.00
SU2944|2.00|4.00|1.00
SU2945||2.00|
SU2960||1.00|
SU2962||2.00|2.00
SU2964|||1.00
SU2965||1.00|
SU3006||1.00|
SU3018||1.00|
SU3026|1.00|1.00|
SU3027||2.00|2.00
SU3028|1.00||2.00
SU3032||1.00|
SU3033||1.00|
SU3034||2.00|
SU3036||1.00|
SU3037|1.00||1.00
SU3038|1.00||
SU3039||1.00|1.00
SU3045|1.00|1.00|
SU3056||1.00|
SU3058||1.00|2.00
SU3059|||3.00
SU3060||2.00|
SU3062|||1.00
SU3064||1.00|
SU3067|1.00||
SU3073||1.00|1.00
SU3074|2.00|1.00|
SU3087||3.00|
SU3097||1.00|
SU3100|||1.00
