SUNo|Ar|CW|HU|La|LU|PO|Tr|TW|U|Un
SU0629|4.61|6.15|16.93||15.39|||1.53||
SU0630|3.64|7.29|31.00||16.41|||||
SU0631|8.29|2.76|19.36||15.21|||4.14||
SU0632||1.29|9.74||1.94|||3.89||
SU0633|2.53||5.58||2.53|||2.02||
SU0634|||0.96||1.92|||3.85||
SU0635||1.56|0.94||3.13|||||
SU0636||0.65|1.62|||||||
SU0637|1.53|0.76|0.25||3.57|||0.76||
SU0638|44.46|22.23|66.69||133.39|||5.55||5.55
SU0639|36.39|23.39|59.79||51.99|||20.79||
Su0640|11.67|4.37|33.55||11.67|||7.29||
SU0652|||||0.10|||||
SU0653||||||||0.11||
SU0654||||||||0.21||
SU0657|||||0.74|||||
SU0658||0.84|0.31||1.26|||0.21||
SU0659|3.68|5.52|14.74||14.74|||2.76||
SU0660|3.31|0.73|2.95||4.05|||1.84||
SU0661|9.57|6.70|15.31||25.85||1.91|4.78||
SU1002|8.41|4.67|42.05||15.88||0.93|5.60||
SU1003|15.73|4.72|25.18||15.73||7.86|11.01||
SU1004|9.26|1.68|24.43||18.53||0.84|8.42||
SU1006|0.81|4.74|4.09||4.41||1.63|4.41||
SU1007|1.97|0.98|0.98||1.80|0.16|0.16|1.64||
SU1008|4.84|2.20|7.92||4.40||0.44|2.64||
SU1009|4.28|2.28|0.57||6.28|||3.71||
SU1010|3.66|6.28|4.19||10.48|||7.86||
SU1011|2.75|3.85|3.85||7.15|||12.11||
SU1012|1.20|2.10|4.20||9.32|||0.90||
SU1013|||2.24||2.91|||1.45||
SU1014||0.11|2.36||2.47|||0.78||0.11
SU1015|10.06|14.63|24.69|1.82|48.47||0.91|29.26||
SU1016|2.07|7.27|4.67||8.57||1.03|6.75||
SU1017|1.83|0.36|6.95||6.22|||2.56||0.36
SU1018|1.49||6.28||3.29|||0.89||
SU1019|0.88||1.54||0.22|||0.66||
SU1020|0.57|1.15|2.87||3.45|||0.57||
SU1021|1.88||2.64||4.15|||||
SU1022|5.89|8.84|12.38||33.62||1.17|20.64||0.58
SU1023|5.33|5.86|15.45|0.53|18.12|||10.12||
SU1024|4.23|11.30|11.30|0.47|24.48||0.47|14.59||
SU1025|7.21|0.84|11.45||9.33||1.69|0.84||
SU1026|0.96|1.61|5.47||10.31|||4.51||0.32
SU1027|0.41||2.93||10.90||0.41|1.25||0.41
SU1028|0.36|0.72|5.46||7.28|||1.45||
SU1029||9.46|6.31||17.35||0.78|10.25||
SU1030|0.58|0.58|15.24||28.72|||2.34||
SU1031|1.84|0.92|5.53||25.84|||2.76||
SU1032|2.24|3.37|7.87||9.55|||3.93||
SU1033|0.47|0.23|||0.95|||0.47||
SU1034|0.78|5.49|14.12||12.55|||7.06||
SU1035|4.09|6.55|11.47||22.12||0.81|10.65||
SU1036|3.64|7.29|13.86||20.43|||7.29||
SU1037|3.68|5.15|6.62||17.66|||11.77||
SU1038|5.68|2.84|16.09||38.82|||21.78||
SU1039|7.72|9.44|35.20||36.92||0.85|20.60||
SU1040|1.99|0.99|6.63||8.95||0.99|4.31||
SU1041|5.07|0.84|11.84||14.37|||1.69||
SU1042|4.65|5.59|33.54||37.27|||9.31||
SU1043|1.59||23.15|0.79|31.93||0.79|3.19||
SU1044|2.46|3.44|17.71||19.18|||6.88||
SU1045|0.22||4.24||4.02|||0.44||
SU1046|2.75|1.22|7.03|0.30|9.17|||3.66|0.30|
SU1047|0.50|2.03|7.64||8.15|||3.05||
SU1048|2.98|1.70|5.97||10.66||0.42|2.98||
SU1049||3.99|5.99||19.99|||4.66||
SU1050|1.49|0.99|8.46||11.45||0.49|3.48||
SU1051|1.18|1.48|1.78||2.67|||0.59||
SU1052|||0.10||0.30|||||
SU1053|1.27|0.63|7.32||11.47|||3.50||
SU1054|3.42|6.85|15.66||30.84|0.48||8.32||
SU1055|1.09||13.13||17.51|||4.92||
SU1056|2.30|2.30|12.07||25.88|||4.02||
SU1057|1.45|2.90|13.81||29.81|||5.81||
SU1058|0.51|1.03|11.90||19.14||0.51|3.62||
SU1059|0.82|3.29|14.82||22.23|||5.76||
SU1060|2.14|4.29|13.60||19.33||0.71|5.73||
SU1061|3.18|11.14|21.49|0.79|54.14||0.79|13.53||
SU1062|1.88|6.26|16.92||33.85|||12.53||
SU1063|2.75|4.13|24.81|0.68|49.62|||17.23||
SU1064|2.82|6.21|12.42|0.56|46.32|0.56||12.99||
SU1065|2.65|4.24|17.52||29.73||0.53|12.21||
SU1066||7.68|29.79||62.48|||4.80||
SU1067|0.55|3.85|22.04||21.49|||2.20|0.55|
SU1068|1.43|7.18|14.36||26.57|||7.90||
SU1069||0.77|4.37||6.17||0.25|0.25||
SU1070||8.34|22.95||42.78||1.04|8.34||
SU1071|0.40|0.40|11.67||9.66|||2.01||
SU1072|2.27|4.09|10.91||15.45|||6.36||
SU1073|2.68|1.34|9.39|0.44|12.52||0.89|7.60||
SU1074|3.43|4.01|8.59||13.75|||5.73||0.57
SU1075||1.61|4.02|0.26|11.80||0.26|4.02||
SU1076|3.45|8.63|12.08||13.81|||6.90||
SU1077|1.80|2.10|2.40||5.10|||1.50||
SU1078|1.22|1.22|2.45||4.91|||0.40||
SU1079|1.06|1.78|12.81|0.35|11.03|||2.49||
SU1080|0.58||8.24||18.85|||2.35||
SU1081||0.27|2.22||2.50|||||
SU1082|6.57|2.19|14.01||15.33||3.50|3.94||
SU1083|18.51|14.10|50.24||44.07||7.05|11.46||
SU1084|0.09||0.19||0.89|||0.09||
SU1085|0.45||4.58||11.45|||0.68||
SU1086|1.35|1.35|31.23||63.83|||6.79||
SU1087|1.89||24.12||17.97||0.94|2.83||
SU1088|1.26|1.26|8.46||9.73|||3.80||
SU1089|1.05||4.75||6.87|||1.05||
SU1091|||0.12||0.25|||||
SU1092|||0.29||0.44|||||
SU1093|||||0.84|||||
SU1094|2.90||7.98||20.32|||5.08||
SU1095|2.82|0.47|11.75||7.52|||3.76||
SU1096||0.76|3.42||0.76|||1.90||
SU1302|0.97|0.08|1.67||0.88|||0.70||
SU1303|1.39|0.42|2.36||0.53|||0.32||
SU1305|2.29|1.14|13.77||9.18||1.14|5.35||
SU1306|2.08|1.85|10.88||10.41||1.15|3.47||
SU1307|1.13|0.18|6.21||5.83||0.18|2.44||
SU1308|5.56|0.55|9.18||8.63||1.11|1.94||
SU1309|0.90|0.90|11.43||2.40|||1.50||0.60
SU1310|0.96|0.76|7.49||9.80||0.19|3.65||
SU1311|1.78|0.44|8.46||8.90||1.33|3.56||
SU1312|0.09|0.09|||0.18|||0.09||
SU1313||0.11|0.44||0.44|||0.11||
SU1314|0.10|0.21|0.53||0.42|||||
SU1315|0.63|0.63|6.95||4.90|0.15|0.15|4.42||
SU1316|0.80|1.38|5.07||6.22||0.34|4.26||
SU1317|4.24|2.12|31.86||58.42|||15.93||
SU1318|1.69|3.38|13.53||27.06|||6.76||
SU1319|1.71|3.42|13.69||26.54|||16.26||
SU1320|2.26|2.26|11.88||25.46||0.56|9.05||
SU1321||0.26|0.34||1.38||0.08|0.17||
SU1322|1.96|0.59|6.49||8.26|||2.55||
SU1323|0.86|0.28|11.83||10.10|||1.44||
SU1324|||5.08||2.70|||0.63||
SU1325|1.11|1.77|11.99||9.77|||6.88||
SU1326||1.22|10.19||16.72|||5.30||
SU1327|1.05|0.35|8.59||5.26|||1.05||
SU1328||0.03|||0.03|||||
SU1329|||||0.06|||||
SU1330|||0.19|0.19|0.06|||||
SU1332|||||0.04|||||
SU1336|||0.05|||||||
SU1337|||||0.06|||||
SU1339||0.04|||0.04|||0.04||
SU1340|||0.09||0.28|||0.04||
SU1341|0.12|0.19|||0.12|||||
SU1342||0.19||||||0.09||
SU1343|||0.14||0.35|||0.07||
SU1344||0.09|0.23||0.09|||||
SU1345||0.09|0.04||0.19|||0.04||
SU1346|||0.18||0.27|||||
SU1347||0.06|||0.18|||0.06||
SU1348||0.11|0.11||0.11|||||
SU1349|0.06|0.06|0.12||0.24|||0.12||
SU1350||0.14|0.09||0.04|||||
SU1351|||0.10||0.25|||0.10||
SU1352|||||0.13|||||
SU1353|||0.13||0.53|||||
SU1354|||0.10||0.41|||||
SU1355|||||0.59|||||
SU1356|||0.27||0.40|||0.06||
SU1357|0.05||0.11||0.40|||0.11||
SU1358|0.23|0.11|||0.92|||0.23||
SU1359|||0.07||0.22|||||
SU1360|0.56||4.53||2.08|||0.37||
SU1361|0.62||0.52||0.31|||0.52||
SU1362|||0.82||0.69|||0.13||
SU1363|1.18||0.70||2.12|||0.23||
SU1364|0.87|0.29|1.74||1.74|||0.58||
SU1365|0.26||0.68||1.10|||0.47||
SU1366|1.04|0.17|1.04||2.61|||0.69||
SU1367|||0.12|||||||
SU1368|0.24|0.24|||0.24|||||
SU1369||0.24|0.24||2.24|||||
SU1370|||0.16||0.16|||||
SU1371|1.51||1.16||1.28|||0.11||
SU1372|||0.20||1.78|||0.20||
SU1377|||||0.17|||||
SU1379|||||0.06|||0.34|0.13|
SU1380||0.23|0.11||0.35|||0.11||
SU1381||2.71|2.86||4.00|||0.57||
SU1382|0.04|0.24|1.16||0.96|||||
SU1383||0.92|5.98||7.83||0.23|0.69||
SU1384|0.06||0.37||0.24|||0.12||
SU1385||0.13|0.13||0.39|||||
SU1386||0.04|0.23|||||||
SU1387||0.05|0.05||0.05|||0.02||
SU1388|||||0.09|||||
SU1602|0.23||0.23||0.39|||||
SU1603|0.73||0.08||0.24|||||
SU1604|0.39||0.52||0.39|||||
SU1605|7.49|1.87|10.16||6.15||0.26|4.01||
SU1606|||||0.19|||||
SU1607|||0.05|||||||
SU1609||||||||0.20||
SU1617|1.32|||||||||
SU1618|||||0.11|||0.11||
SU1620|28.17||31.49||87.84||3.31|18.23||
SU1621|3.44|2.29|4.02||13.20|||1.72||
SU1622|3.05|2.03|6.61||9.15|||0.50||
SU1623|2.79|3.10|6.83||6.52|||1.55||
SU1624|||4.05||2.02|||1.35||
SU1625|||3.16||3.16|||0.45||
SU1626|4.70|3.13|20.38||56.44|||9.40||
SU1628||1.44|2.16||4.69|||0.36||
SU1629|0.21|3.23|1.51||1.29|||0.86||
SU1630|1.68|1.68|4.49||2.24|||||
SU1631|0.52|4.70|3.13||5.75|||0.52||
SU1632||3.11|3.11||24.92|||4.15||
SU1633||1.53|0.92||1.84|||||
SU1634|1.73|6.23|3.81||6.23||0.34|4.15||
SU1635|||0.73||1.83|||0.36||
SU1636||0.67|2.69||6.73|||0.67||
SU1637||1.42|1.90||4.76|||0.95||
SU1638||0.71|0.53||1.07|||0.17||
SU1639|0.97|1.95|6.83||3.90|||2.92||
SU1640||1.38|3.22||1.38|||0.46||
SU1641||0.38|2.30||4.21|||0.76||
SU1642|0.39||0.39||2.37|||||
SU1643||2.01|2.01||1.00|||||0.50
SU1644|||1.68||1.26|||0.42||
SU1645||0.43|1.31||3.06|||0.87||
SU1646|3.62|1.55|8.79||11.38||0.51|2.58||0.51
SU1647|2.06|21.32|25.45||18.57|||3.44||
SU1648|1.22|2.44|13.45||31.79|||4.89||
SU1649|1.14|1.14|4.57||20.60|||4.57||
SU1650|0.53|0.53|2.69||9.17|||3.23||
SU1651|0.82|6.58|4.94||24.70|||1.64||
SU1652|0.50|0.76|0.50||1.77|||0.25||
SU1653|||0.65||1.95|||0.65||
SU1654|0.93|1.40|0.93||0.93|||0.46||
SU1655||2.24|1.12||6.74|||1.12|1.12|
SU1656|2.53||2.53||3.80|||0.63||
SU1657|1.22||1.22||0.81|||0.81||
SU1658|0.91|0.45|0.30||0.15|||0.60||
SU1659||||||||0.19||
SU1660|0.66||||2.67|||||
SU1661|0.50|2.03|2.53||2.03|||1.01||
SU1662|0.51|0.25|0.25||0.77|||||
SU1663|||1.39||2.78|||||
SU1664|0.16|0.50|0.50||0.84|||0.16||
SU1665|||||3.42|||0.97||
SU1666|2.07||1.24||3.31|||0.41||
SU1667|0.05||0.16|||||0.05||
SU1668|||||0.67|||||
SU1669|0.29|0.09|||0.09|||||
SU1670||0.07||||||||
SU1671|0.14||0.14|||||||
SU1673||0.26|0.52||0.26|||||
SU1676|0.40||0.61||5.52|||1.22||
SU1677||0.30|0.15||0.15|||0.45||
SU1679|||||0.11|||0.23||
SU1680|||||1.01|||0.10||
SU1682|||||0.45|||||
SU1683|||2.10|||||||
SU1684|4.41|3.15|11.98||4.41|||||
SU1685|0.45||1.82||0.91|||||
SU1686||||||||0.44||
SU1687|0.33|0.67|1.01||1.01|||||
SU1688|1.73|2.30|2.88||6.92|||0.57||
SU1689|1.58|0.79|2.37||3.16|||0.79||
SU1690||0.50||||||||
SU1692|||0.18|||||||
SU1693|||0.20||1.20|||0.20||
SU1696||0.52|||0.52|||||
SU1697|0.56||||2.24|||0.18||
SU1698||0.64|||0.32|||||
SU1699|||2.57||15.97|||1.54||
SU1700|||0.85||8.10|||0.85||
SU1701||0.63|9.57||1.27|||2.55||
SU1702|||0.36||11.36|||1.10||
SU1703||0.19|0.76|||||0.19||
SU1704|||1.15||0.92|||0.46||
SU1705||1.09|2.72||7.09|||0.54||
SU1706||0.24|0.24||3.66|||0.48||
SU1707||0.97|2.61||7.83|||0.32||
SU1708||1.19|||2.78|||0.39||
SU1709|||||7.07|||0.44||
SU1710|||1.77|||||2.21||
SU1908|0.22|0.11|0.45||0.22|||0.56||
SU1909|0.09||||0.29|||0.09||
SU1910|||||0.12|||||
SU1911|||0.24||0.97|||0.12||
SU1914|||0.29|||||||
SU1915|0.20|1.20|4.42||6.63|||2.41||
SU1916|||1.38||6.58|||0.34||
SU1917|0.11|0.22|1.56||2.34|||0.33||0.11
SU1918|0.33|0.16|2.87||5.75||0.67|0.84||
SU1919|0.50||0.37||0.62|||||
SU1920|0.15||0.23||0.54|||0.07||
SU2001|||3.68||3.68|||0.73||
SU2002|2.99|1.19|11.37||7.18|||8.38|2.99|
SU2003|1.11|2.79|6.14||9.78||0.27|2.23||
SU2004|1.46|1.46|6.69||5.22||0.20|1.88||
SU2005|1.50|1.50|2.26||9.05|||3.01||
SU2006|||3.04||2.43|||0.60||
SU2007|2.93|1.25|9.65||18.05|||2.51|0.83|
SU2008|4.67|2.33|21.80||31.92|||21.02|10.12|
SU2009|1.42|8.92|8.92||18.20|||6.78|0.35|
SU2010|2.66|6.40|9.60||25.07|||12.80|8.53|
SU2011|2.91|7.00|8.75||23.34|||6.41|2.91|
SU2012|||1.06||0.70|||0.53||
SU2013|0.65|1.95|8.48||10.11|||5.21||
SU2014|0.23|0.69|4.40||7.19||0.23|2.55|0.46|
SU2015|0.70|1.05|3.50||3.32|||1.40||
SU2016|0.57|4.34|9.85||18.83|||15.35|0.86|
SU2017|1.07|1.07|5.01||15.39||0.35|11.81|0.35|
SU2018|0.65|1.52|4.34||10.42|||3.47||
SU2019|0.94|1.57|6.60||9.74|||2.83|0.94|
SU2020|1.62|2.70|9.72||24.31|||9.72|3.24|
SU2021|2.01|9.07|10.07|1.00|30.23|||7.05|1.00|
SU2022|0.37|4.15|4.53||13.61|||4.91|2.64|
SU2023|0.11||0.23||0.23|||||
SU2024|1.26|2.52|5.04||7.56||1.26|1.89|0.63|
SU2025||2.23|14.91||8.95|||1.49||
SU2026|||1.74||0.58|||0.58|0.29|
SU2027|0.51|1.02|6.63||6.12|||3.57||
SU2028|1.59|0.53|9.03||1.06||0.53|2.12||
SU2029||3.02|22.15||8.05|||4.02||
SU2030|1.30||5.23||3.92|||2.61|0.43|
SU2031|0.34||5.88||2.77|||||
SU2032|0.36||0.24||0.12|||0.12||
SU2033|2.55|0.51|5.61||5.61|||3.57||
SU2034||0.49|14.39||10.91|||5.95||0.49
SU2035|0.17||0.35||0.70|||||
SU2036|||0.16||0.32||||0.16|
SU2037||0.13|1.25||1.81|||0.13||
SU2038|||||0.35|||||
SU2041||0.13|0.13||0.41|||0.27||
SU2042||0.37|1.86||4.48||0.37|2.24||
SU2045|||||0.04|||||
SU2046|0.16|0.50|||0.33|||0.16||
SU2047|0.08||0.17||0.17|||||
SU2048||0.55|||0.55|||||
SU2049|0.37||0.75||0.75|||||
SU2050|2.59|5.18|6.90||19.85|||1.72||
SU2051|0.81|3.67|9.81||8.17|||1.63||
SU2052|1.19||6.56||6.56|||1.19|0.59|
SU2053||0.49|2.45||1.96|||0.73||
SU2054|0.95|1.90|9.53||5.71|||0.95|0.47|
SU2055|1.51|0.75|19.63||8.30|||1.51|0.75|
SU2056|5.29|6.17|13.24||15.00|||13.24|3.53|
SU2057||0.77|10.10||13.99|||2.33||
SU2058|0.27|0.27|3.57||3.57||0.54|2.74|0.27|
SU2059|0.33||||||||0.66|
SU2060|||1.47||0.63|||0.21||
SU2061|1.05||13.65||13.65|||9.45||
SU2062|0.22||0.44|||||0.66|0.22|
SU2063||0.32|2.61||1.95|||1.30|0.65|
SU2064|6.00|3.60|13.21||22.83|||16.82|2.40|1.20
SU2065|1.77||7.67||10.62|||3.54|1.77|
SU2066|0.58|1.17|2.64||1.17|||0.58||
SU2067|0.40|0.80|4.83||2.41|||0.80||
SU2068|0.22|0.22|3.31||1.10||0.44|0.22||
SU2069|2.17|2.60|6.51||9.12||0.43|0.86||
SU2070|2.81|5.63|12.96||13.53||0.56|1.12||
SU2071|1.30|1.30|3.91||4.78|||5.65||
SU2072|0.35|0.35|2.47||2.47|||||
SU2073|||0.33||0.33||0.33|||
SU2074|0.23||||0.23|||0.23||
SU2075|0.17||0.35||0.53|||||
SU2076|0.47|0.23|0.70||0.47|||||
SU2078|1.00|0.16|1.84||1.34|||0.16||
SU2079|0.93||1.49||1.11||0.18|0.74|0.18|
SU2080|0.14||1.16||0.73|||||
SU2081|0.65|0.21|1.53||1.53|||0.21|0.21|
SU2082|0.47||||1.42|||0.47||
SU2083|||4.41||1.01|||2.03||
SU2084|||5.16||8.11|||||
SU2085|0.38||9.30||7.75|||2.71||
SU2087|||0.12|||||||
SU2090|||||0.17|||||
SU2091|||0.02|||||||
SU2095||||||||0.07||
SU2096|||||0.06|||||
SU2104|||8.25||4.77|||3.91||
SU2107|0.05|||||||||
SU2108|||||0.09|||||
SU2111|||0.04|||||||
SU2112|0.05|0.05||||||||
SU2113|||0.32||1.72||0.21|0.21||
SU2114||0.04|||0.04|||||
SU2115||||0.16|0.82||0.16|0.16||
SU2116|||||0.10|||||
SU2121|||||0.06|||||
SU2124|2.14|0.91|6.11||0.91|||0.30||
SU2125|0.45||2.52||2.29|||0.22||
SU2126|0.58|0.19|0.77||0.19|||||
SU2127|0.21||0.86||0.86|||||
SU2128|8.78|1.95|9.26||8.78||0.48|3.41|8.29|0.48
SU2129|1.16|0.33|2.49||2.82|||0.16||
SU2130|2.12|0.53|10.08||5.30|0.53||3.18|1.06|
SU2131|1.21|4.85|16.97||18.19||2.42|7.27||
SU2132|1.38|2.30|8.29||1.84|0.46|0.46|0.92|5.06|
SU2133|4.23||12.70||11.01||0.84|1.69|5.08|
SU2134|2.48|2.90|7.04||8.28||0.41|1.65|1.65|0.41
SU2135|1.93||5.15||7.08||0.64|1.93||
SU2136|0.41|0.82|4.13||7.84||0.41|2.47|0.82|
SU2137|0.63|0.63|4.47||5.75||1.27|0.63|1.27|
SU2138|0.50|2.51|13.05||8.03||2.00|3.01||
SU2139|7.69||32.96||14.28||4.39|5.49|7.69|
SU2140|9.34|0.93|16.81||3.73||0.93|1.86|3.73|
