ISZ|SIANo|SUNo|SumOfNoPiece|Tile
Xyliatos|TS02|SU0630|2.00|Tile
Xyliatos|TS02|SU0631|2.00|Tile
Xyliatos|TS02|SU0633|1.00|Tile
Xyliatos|TS02|SU0637|5.00|Tile
Xyliatos|TS02|SU0638|8.00|Tile
Xyliatos|TS02|SU0639|10.00|Tile
Xyliatos|TS02|SU0640|7.00|Tile
Xyliatos|TS02|SU0659|4.00|Tile
Xyliatos|TS02|SU0660|6.00|Tile
Xyliatos|TS02|SU0661|10.00|Tile
||SU0702c|13.00|Tile
||SU0703|24.00|Tile
Karkotis|TS11|SU1001|11.00|Tile
Karkotis|TS11|SU1002|6.00|Tile
Karkotis|TS11|SU1003|10.00|Tile
Karkotis|TS11|SU1004|9.00|Tile
Karkotis|TS13|SU1006|5.00|Tile
Karkotis||SU1007|12.00|Tile
Karkotis||SU1008|11.00|Tile
Karkotis||SU1009|15.00|Tile
Karkotis||SU1010|7.00|Tile
Karkotis||SU1011|5.00|Tile
Karkotis|TS09|SU1012|4.00|Tile
Karkotis||SU1015|11.00|Tile
Karkotis||SU1016|7.00|Tile
Karkotis||SU1017|5.00|Tile
Karkotis||SU1018|5.00|Tile
Karkotis||SU1019|4.00|Tile
Karkotis||SU1020|2.00|Tile
Karkotis||SU1021|5.00|Tile
Karkotis||SU1022|10.00|Tile
Karkotis||SU1023|10.00|Tile
Karkotis||SU1024|8.00|Tile
Karkotis||SU1025|17.00|Tile
Karkotis||SU1026|3.00|Tile
Karkotis||SU1027|1.00|Tile
Karkotis||SU1028|1.00|Tile
Karkotis||SU1030|1.00|Tile
Karkotis||SU1031|2.00|Tile
Karkotis||SU1032|4.00|Tile
Karkotis||SU1033|2.00|Tile
Karkotis||SU1034|1.00|Tile
Karkotis||SU1035|5.00|Tile
Karkotis||SU1036|5.00|Tile
Karkotis||SU1037|5.00|Tile
Karkotis||SU1038|6.00|Tile
Karkotis||SU1039|9.00|Tile
Karkotis||SU1040|6.00|Tile
Karkotis||SU1041|6.00|Tile
Karkotis||SU1042|5.00|Tile
Karkotis||SU1043|2.00|Tile
Karkotis||SU1044|5.00|Tile
Karkotis||SU1045|1.00|Tile
Karkotis||SU1046|9.00|Tile
Karkotis||SU1047|1.00|Tile
