ISZ|SIANo|SUNo|SumOfNoPiece|ChroTPer
Xyliatos|TS05|SU2602|4.00|HA
Xyliatos|TS05|SU2602|10.00|HIS
Xyliatos|TS05|SU2602|7.00|HR
Xyliatos|TS05|SU2602|1.00|MOD
Xyliatos|TS05|SU2602|2.00|RM
Xyliatos|TS05|SU2603|14.00|HA
Xyliatos|TS05|SU2603|11.00|HIS
Xyliatos|TS05|SU2603|10.00|HR
Xyliatos|TS05|SU2603|2.00|LR
Xyliatos|TS05|SU2603|1.00|RM
Xyliatos|TS05|SU2603|1.00|ROM
Xyliatos|TS05|SU2604|18.00|HA
Xyliatos|TS05|SU2604|1.00|HER
Xyliatos|TS05|SU2604|11.00|HIS
Xyliatos|TS05|SU2604|38.00|HR
Xyliatos|TS05|SU2604|9.00|LR
Xyliatos|TS05|SU2604|20.00|RM
Xyliatos|TS05|SU2604|10.00|ROM
Xyliatos|TS05|SU2605|4.00|ER
Xyliatos|TS05|SU2605|41.00|HA
Xyliatos|TS05|SU2605|45.00|HR
Xyliatos|TS05|SU2605|13.00|LHER
Xyliatos|TS05|SU2605|24.00|LR
Xyliatos|TS05|SU2605|27.00|RM
Xyliatos|TS05|SU2605|32.00|ROM
Xyliatos|TS05|SU2606|11.00|HA
Xyliatos|TS05|SU2606|2.00|HIS
Xyliatos|TS05|SU2606|13.00|HR
Xyliatos|TS05|SU2606|3.00|LR
Xyliatos|TS05|SU2606|1.00|MEDVOTT
Xyliatos|TS05|SU2606|10.00|RM
Xyliatos|TS05|SU2606|7.00|ROM
Xyliatos|TS05|SU2608|1.00|HA
Xyliatos|TS05|SU2608|1.00|HIS
Xyliatos|TS05|SU2608|3.00|HR
Xyliatos|TS05|SU2608|1.00|MOD
Xyliatos|TS05|SU2609|1.00|MM
Xyliatos|TS05|SU2609|1.00|MOD
Xyliatos||SU2610|1.00|HIS
Xyliatos||SU2612|1.00|ER
Xyliatos||SU2612|1.00|HA
Xyliatos||SU2613|1.00|HA
Xyliatos||SU2613|1.00|HR
Xyliatos||SU2614|1.00|HR
Xyliatos|TS05
TS05|SU2617|2.00|HA
Xyliatos|TS05
TS05|SU2617|2.00|HIS
Xyliatos|TS05
TS05|SU2617|1.00|ROM
Xyliatos|TS05
TS05|SU2618|4.00|HA
Xyliatos|TS05
TS05|SU2618|5.00|HIS
Xyliatos|TS05
TS05|SU2618|2.00|RM
Xyliatos|TS05
TS05|SU2619|1.00|ER
Xyliatos|TS05
TS05|SU2619|2.00|HA
Xyliatos|TS05
TS05|SU2619|2.00|HIS
Xyliatos|TS05
TS05|SU2619|1.00|HR
Xyliatos|TS05
TS05|SU2619|2.00|OTTMODII
Xyliatos|TS05
TS05|SU2619|1.00|ROM
Xyliatos|TS05
TS05|SU2620|1.00|HIS
Xyliatos|TS05
TS05|SU2620|2.00|ROM
Xyliatos|TS05
TS05|SU2621|1.00|HA
Xyliatos|TS05
TS05|SU2621|2.00|ROM
Xyliatos|TS05
TS05|SU2624|1.00|HIS
Xyliatos|TS05
TS05|SU2624|3.00|MM
Xyliatos|TS05
TS05|SU2624|13.00|MOD
Xyliatos|TS05
TS05|SU2625|1.00|HA
Xyliatos|TS05
TS05|SU2625|1.00|LChPh
Xyliatos|TS05
TS05|SU2625|5.00|MOD
Xyliatos|TS05
TS05|SU2625|1.00|OTTMODII
Xyliatos||SU2627|1.00|HA
Xyliatos|TS05|SU2632|7.00|ER
Xyliatos|TS05|SU2632|91.00|HA
Xyliatos|TS05|SU2632|3.00|HEL
Xyliatos|TS05|SU2632|37.00|HIS
Xyliatos|TS05|SU2632|44.00|HR
Xyliatos|TS05|SU2632|7.00|LHER
Xyliatos|TS05|SU2632|41.00|LR
Xyliatos|TS05|SU2632|1.00|MEDUI
Xyliatos|TS05|SU2632|13.00|RM
Xyliatos|TS05|SU2632|21.00|ROM
Xyliatos|TS05|SU2633|2.00|ER
Xyliatos|TS05|SU2633|30.00|HA
Xyliatos|TS05|SU2633|22.00|HIS
Xyliatos|TS05|SU2633|11.00|HR
Xyliatos|TS05|SU2633|3.00|LHER
Xyliatos|TS05|SU2633|1.00|LR
Xyliatos|TS05|SU2633|2.00|MOD
Xyliatos|TS05|SU2633|4.00|OTTMODII
Xyliatos|TS05|SU2633|3.00|ROM
Xyliatos|TS05|SU2634|1.00|ER
Xyliatos|TS05|SU2634|25.00|HA
Xyliatos|TS05|SU2634|5.00|HEL
Xyliatos|TS05|SU2634|28.00|HIS
Xyliatos|TS05|SU2634|17.00|HR
Xyliatos|TS05|SU2634|2.00|LHER
Xyliatos|TS05|SU2634|3.00|LR
Xyliatos|TS05|SU2634|4.00|RM
Xyliatos|TS05|SU2634|8.00|ROM
Xyliatos|TS05|SU2634|1.00|UN
