ISZ|SIANo|SUNo|SumOfNoPiece|ChroTPer
Mandres||SU3028|2.00|HA
Mandres||SU3028|4.00|HIS
Mandres||SU3028|1.00|LR
Mandres||SU3028|1.00|MEDB
Mandres||SU3028|6.00|MM
Mandres||SU3030|1.00|MM
Mandres||SU3031|3.00|HIS
Mandres||SU3031|3.00|PeB
Mandres||SU3031|1.00|PoBAR
Mandres||SU3031|2.00|UN
Mandres||SU3032|4.00|PeB
Mandres||SU3032|1.00|UN
Koutraphas||SU3033|1.00|ER
Koutraphas||SU3033|22.00|HA
Koutraphas||SU3033|1.00|HEL
Koutraphas||SU3033|2.00|HIS
Koutraphas||SU3033|9.00|HR
Koutraphas||SU3033|5.00|LR
Koutraphas||SU3033|1.00|MR
Koutraphas||SU3033|1.00|ROM
Koutraphas||SU3034|31.00|HA
Koutraphas||SU3034|2.00|HIS
Koutraphas||SU3034|5.00|HR
Koutraphas||SU3034|1.00|RM
Koutraphas||SU3034|17.00|ROM
Koutraphas||SU3035|24.00|HA
Koutraphas||SU3035|11.00|HIS
Koutraphas||SU3035|3.00|HR
Koutraphas||SU3035|2.00|LR
Koutraphas||SU3035|1.00|MR
Koutraphas||SU3035|1.00|OTTMODII
Koutraphas||SU3035|9.00|ROM
Koutraphas||SU3036|1.00|ER
Koutraphas||SU3036|31.00|HA
Koutraphas||SU3036|1.00|HEL
Koutraphas||SU3036|7.00|HIS
Koutraphas||SU3036|5.00|HR
Koutraphas||SU3036|22.00|ROM
Koutraphas||SU3037|2.00|ER
Koutraphas||SU3037|25.00|HA
Koutraphas||SU3037|7.00|HR
Koutraphas||SU3037|5.00|LR
Koutraphas||SU3037|1.00|ROM
Koutraphas||SU3038|16.00|HA
