ISZ|SIANo|SUNo|Cat|SumOfNoPieces
Xyliatos|TS02|SU1634|De|1.00
Xyliatos|TS02|SU1638|Bl|1.00
Xyliatos|TS02|SU1639|De|1.00
Xyliatos|TS02|SU1640|Bl|1.00
Xyliatos|TS02|SU1640|Co|2.00
Xyliatos|TS02|SU1640|De|1.00
Xyliatos|TS02|SU1642|Co|1.00
Xyliatos|TS02|SU1642|De|1.00
Xyliatos|TS02|SU1644|De|3.00
Xyliatos|TS02|SU1648|Bl|2.00
Xyliatos|TS02|SU1648|Co|2.00
Xyliatos|TS02|SU1648|De|3.00
Xyliatos|TS02|SU1649|Bl|3.00
Xyliatos|TS02|SU1649|De|5.00
Xyliatos|TS02|SU1650|Bl|1.00
Xyliatos|TS02|SU1650|Co|1.00
Xyliatos|TS02|SU1650|De|1.00
Xyliatos|TS02|SU1651|Bl|7.00
Xyliatos|TS02|SU1651|Co|2.00
Xyliatos|TS02|SU1651|De|11.00
Xyliatos|TS10|SU1652|De|6.00
Xyliatos|TS10|SU1653|Bl|1.00
Xyliatos|TS10|SU1654|Bl|2.00
Xyliatos|TS10|SU1654|Co|1.00
Xyliatos|TS10|SU1654|De|3.00
Xyliatos|TS10|SU1655|Bl|1.00
Xyliatos|TS10|SU1655|De|3.00
Xyliatos|TS10|SU1656|De|7.00
Xyliatos|TS10|SU1657|Bl|2.00
Xyliatos|TS10|SU1657|De|8.00
Xyliatos|TS10|SU1658|De|3.00
Xyliatos|TS10|SU1659|Bl|1.00
Xyliatos|TS10|SU1659|De|2.00
Xyliatos|TS10|SU1660|De|1.00
Xyliatos|TS10|SU1666|Co|1.00
Xyliatos||SU1667|De|1.00
Xyliatos||SU1668|Bl|2.00
Xyliatos||SU1668|De|3.00
Xyliatos||SU1669|Co|1.00
Xyliatos||SU1673|Co|2.00
Xyliatos||SU1673|De|1.00
Xyliatos|TS10|SU1676|Bl|1.00
Xyliatos|TS10|SU1676|Co|1.00
Xyliatos|TS10|SU1676|De|3.00
Xyliatos|TS10|SU1677|Bl|2.00
Xyliatos|TS10|SU1677|Co|10.00
Xyliatos|TS10|SU1677|De|13.00
Xyliatos|TS10|SU1688|De|1.00
Xyliatos|TS02|SU1690|Bl|2.00
Xyliatos|TS02|SU1690|Co|8.00
Xyliatos|TS02|SU1690|De|6.00
Xyliatos|TS02|SU1691|Bl|4.00
Xyliatos|TS02|SU1691|Co|4.00
Xyliatos|TS02|SU1691|De|6.00
Xyliatos|TS02|SU1692|Bl|4.00
Xyliatos|TS02|SU1692|Co|2.00
Xyliatos|TS02|SU1693|Bl|2.00
Xyliatos|TS02|SU1693|De|1.00
Xyliatos|TS02|SU1694|Bl|4.00
Xyliatos|TS02|SU1694|Co|1.00
Xyliatos|TS02|SU1695|Bl|5.00
Xyliatos|TS02|SU1695|Co|2.00
Xyliatos|TS02|SU1695|De|3.00
Xyliatos|TS02|SU1696|De|1.00
Xyliatos|TS02|SU1697|Bl|1.00
Xyliatos|TS02|SU1697|Co|3.00
Xyliatos|TS02|SU1697|De|11.00
Xyliatos|TS02|SU1698|De|1.00
Xyliatos|TS02|SU1700|De|1.00
Xyliatos|TS02|SU1703|De|1.00
Xyliatos|TS02|SU1706|Co|1.00
Xyliatos|TS02|SU1707|Co|1.00
Xyliatos|TS02|SU1707|De|1.00
Xyliatos|TS02|SU1708|Bl|2.00
Xyliatos|TS02|SU1708|De|2.00
Xyliatos|TS02|SU1709|De|2.00
Extensive||SU1908|Bl|1.00
Extensive||SU1908|Co|1.00
Extensive||SU1908|De|1.00
Extensive||SU1911|Co|1.00
Extensive||SU1911|De|1.00
