ISZ|SIANo|SUNo|SumOfNoPiece|Func
Karkotis|TS11|SU0018|10.00|Ar
Karkotis|TS11|SU0018|4.00|CW
Karkotis|TS11|SU0018|16.00|HU
Karkotis|TS11|SU0018|7.00|LU
Karkotis|TS11|SU0018|5.00|TW
Karkotis|TS11|SU0019|7.00|Ar
Karkotis|TS11|SU0019|2.00|CW
Karkotis|TS11|SU0019|16.00|HU
Karkotis|TS11|SU0019|1.00|LU
Karkotis|TS11|SU0019|13.00|TW
Karkotis|TS11|SU0020|7.00|Ar
Karkotis|TS11|SU0020|5.00|HU
Karkotis|TS11|SU0020|10.00|LU
Karkotis|TS11|SU0020|2.00|TW
Karkotis||SU0021|4.00|Ar
Karkotis||SU0021|2.00|CW
Karkotis||SU0021|3.00|HU
Karkotis||SU0021|7.00|LU
Karkotis||SU0021|3.00|TW
Karkotis||SU0021|1.00|U
Karkotis||SU0022|13.00|Ar
Karkotis||SU0022|6.00|CW
Karkotis||SU0022|24.00|HU
Karkotis||SU0022|12.00|LU
Karkotis||SU0022|1.00|Tr
Karkotis||SU0022|3.00|TW
Karkotis||SU0023|13.00|Ar
Karkotis||SU0023|17.00|CW
Karkotis||SU0023|27.00|HU
Karkotis||SU0023|18.00|LU
Karkotis||SU0023|11.00|TW
Karkotis||SU0023|1.00|U
Karkotis||SU0024|27.00|Ar
Karkotis||SU0024|16.00|CW
Karkotis||SU0024|28.00|HU
Karkotis||SU0024|35.00|LU
Karkotis||Su0024|13.00|TW
Karkotis||SU0024|1.00|U
Karkotis||SU0025|8.00|Ar
Karkotis||SU0025|3.00|CW
Karkotis||SU0025|15.00|HU
Karkotis||SU0025|3.00|LU
Karkotis||SU0025|11.00|TW
Karkotis||SU0026|9.00|Ar
Karkotis||SU0026|7.00|HU
Karkotis||SU0026|4.00|LU
Karkotis||SU0026|8.00|TW
Karkotis||SU0027|15.00|Ar
Karkotis||SU0027|4.00|HU
Karkotis||SU0027|9.00|LU
Karkotis||SU0027|2.00|TW
Karkotis||SU0028|7.00|Ar
Karkotis||SU0028|1.00|CW
Karkotis||SU0028|7.00|HU
Karkotis||SU0028|7.00|LU
Karkotis||SU0028|4.00|TW
Karkotis||SU0029|8.00|Ar
Karkotis||SU0029|2.00|CW
Karkotis||SU0029|3.00|HU
Karkotis||SU0029|6.00|LU
Karkotis||SU0029|1.00|TW
Karkotis||SU0030|1.00|Ar
Karkotis||SU0030|1.00|CW
Karkotis||SU0030|4.00|HU
Karkotis||SU0030|2.00|TW
Karkotis||SU0031|13.00|Ar
Karkotis||SU0031|14.00|CW
Karkotis||SU0031|41.00|HU
Karkotis||SU0031|40.00|LU
Karkotis||SU0031|22.00|TW
Karkotis||SU0031|1.00|U
Karkotis||SU0032|10.00|Ar
Karkotis||SU0032|8.00|CW
Karkotis||SU0032|43.00|HU
Karkotis||SU0032|37.00|LU
Karkotis||SU0032|34.00|TW
Karkotis||SU0032|1.00|U
Karkotis||SU0033|10.00|Ar
Karkotis||SU0033|10.00|CW
Karkotis||SU0033|25.00|HU
Karkotis||SU0033|17.00|LU
Karkotis||SU0033|12.00|TW
Karkotis||SU0034|5.00|Ar
Karkotis||SU0034|2.00|HU
Karkotis||SU0034|2.00|LU
Karkotis||SU0035|4.00|Ar
Karkotis||SU0035|1.00|HU
Karkotis||SU0036|1.00|Ar
Karkotis||SU0036|1.00|CW
Karkotis||SU0036|1.00|HU
Karkotis||SU0036|3.00|LU
Karkotis||SU0036|5.00|TW
Karkotis||SU0037|2.00|Ar
Karkotis||SU0037|2.00|CW
Karkotis||SU0037|6.00|HU
Karkotis||SU0037|1.00|LU
Karkotis||SU0037|2.00|TW
Karkotis||SU0038|7.00|Ar
Karkotis||SU0038|6.00|HU
Karkotis||SU0038|4.00|LU
Karkotis||SU0038|8.00|TW
Karkotis||SU0039|5.00|Ar
Karkotis||SU0039|3.00|HU
Karkotis||SU0039|2.00|LU
Karkotis||SU0039|2.00|TW
||SU0040|20.00|Ar
||SU0040|4.00|CW
||SU0040|15.00|HU
||SU0040|30.00|LU
||SU0040|2.00|TW
||SU0040|1.00|U
Karkotis||SU0041|7.00|Ar
Karkotis||SU0041|3.00|CW
Karkotis||SU0041|51.00|HU
Karkotis||SU0041|32.00|LU
Karkotis||SU0041|1.00|Tr
Karkotis||SU0041|6.00|TW
||SU0042|1.00|CW
||SU0043|9.00|Ar
||SU0043|8.00|CW
||SU0043|45.00|HU
||SU0043|32.00|LU
||SU0043|8.00|TW
||SU0043|1.00|U
Karkotis||SU0044|8.00|Ar
Karkotis||SU0044|2.00|CW
Karkotis||SU0044|28.00|HU
Karkotis||SU0044|9.00|LU
Karkotis||SU0044|11.00|TW
||SU0045|9.00|Ar
||SU0045|5.00|CW
||SU0045|29.00|HU
||SU0045|37.00|LU
||SU0045|30.00|TW
||SU0046|3.00|Ar
||SU0046|10.00|CW
||SU0046|51.00|HU
||SU0046|9.00|LU
||SU0046|35.00|TW
Karkotis||SU0047|18.00|Ar
Karkotis||SU0047|7.00|CW
Karkotis||SU0047|42.00|HU
Karkotis||SU0047|34.00|LU
Karkotis||SU0047|11.00|TW
Karkotis||SU0048|6.00|Ar
Karkotis||SU0048|4.00|CW
Karkotis||SU0048|14.00|HU
Karkotis||SU0048|15.00|LU
||SU0049|7.00|Ar
||SU0049|8.00|CW
||SU0049|33.00|HU
||SU0049|20.00|LU
||SU0049|17.00|TW
Karkotis||SU0050|6.00|Ar
Karkotis||SU0050|3.00|HU
Karkotis||SU0050|6.00|LU
Karkotis||SU0050|3.00|TW
Karkotis||SU0051|9.00|Ar
Karkotis||SU0051|15.00|HU
Karkotis||SU0051|9.00|LU
Karkotis||SU0051|34.00|TW
Karkotis||SU0052|9.00|Ar
Karkotis||SU0052|2.00|CW
Karkotis||SU0052|27.00|HU
Karkotis||SU0052|29.00|LU
Karkotis||SU0052|3.00|Tr
Karkotis||SU0052|14.00|TW
Karkotis||SU0052|1.00|U
||SU0053|12.00|Ar
||SU0053|14.00|HU
||SU0053|8.00|LU
||SU0053|14.00|TW
||SU0053|2.00|U
||SU0053|1.00|Un
||SU0054|8.00|Ar
||SU0054|24.00|CW
||SU0054|26.00|HU
||SU0054|12.00|LU
||SU0054|16.00|TW
||SU0054|1.00|U
||SU0054|1.00|Un
||SU0055|1.00|Ar
||SU0058|1.00|TW
Karkotis||SU0060|10.00|Ar
Karkotis||SU0060|7.00|CW
Karkotis||SU0060|36.00|HU
Karkotis||SU0060|30.00|LU
Karkotis||SU0060|2.00|Tr
Karkotis||SU0060|33.00|TW
Karkotis||SU0060|1.00|U
Karkotis||SU0061|8.00|Ar
Karkotis||SU0061|10.00|HU
Karkotis||SU0061|6.00|LU
Karkotis||SU0061|8.00|TW
Karkotis||SU0061|1.00|U
Karkotis||SU0062|9.00|Ar
Karkotis||Su0062|2.00|CW
Karkotis||SU0062|9.00|HU
Karkotis||SU0062|7.00|LU
Karkotis||SU0062|4.00|TW
Karkotis||SU0062|1.00|U
Karkotis||SU0063|8.00|Ar
Karkotis||SU0063|8.00|CW
Karkotis||SU0063|15.00|HU
Karkotis||SU0063|13.00|LU
Karkotis||SU0063|5.00|TW
Karkotis||SU0064|8.00|Ar
Karkotis||SU0064|2.00|CW
Karkotis||SU0064|15.00|HU
Karkotis||SU0064|10.00|LU
Karkotis||SU0064|2.00|Tr
Karkotis||SU0064|2.00|TW
Karkotis||SU0065|2.00|Ar
Karkotis||SU0065|1.00|HU
Karkotis||SU0065|1.00|TW
Karkotis||SU0066|11.00|Ar
Karkotis||SU0066|1.00|CW
Karkotis||SU0066|21.00|HU
Karkotis||SU0066|11.00|LU
Karkotis||SU0066|10.00|TW
Karkotis||SU0067|4.00|Ar
Karkotis||SU0067|1.00|CW
Karkotis||SU0067|20.00|HU
Karkotis||SU0067|23.00|LU
Karkotis||SU0067|9.00|TW
Karkotis||SU0068|4.00|Ar
Karkotis||SU0068|3.00|CW
Karkotis||SU0068|21.00|HU
Karkotis||SU0068|21.00|LU
Karkotis||SU0068|3.00|TW
Karkotis||SU0069|2.00|Ar
Karkotis||SU0069|8.00|CW
Karkotis||SU0069|19.00|HU
Karkotis||SU0069|24.00|LU
Karkotis||SU0069|1.00|Tr
Karkotis||SU0069|25.00|TW
Karkotis||SU0070|1.00|Ar
Karkotis||SU0070|2.00|CW
Karkotis||SU0070|19.00|HU
Karkotis||SU0070|10.00|LU
Karkotis||SU0070|3.00|TW
Karkotis||SU0070|1.00|Un
Karkotis|TS09|SU0071|1.00|Ar
Karkotis|TS09|SU0071|1.00|TW
Karkotis|TS09|SU0072|1.00|Ar
Karkotis|TS09|SU0072|1.00|LU
Karkotis|TS09|SU0072|2.00|TW
Karkotis|TS09|SU0073|4.00|HU
Karkotis|TS09|SU0073|22.00|LU
Karkotis|TS09|SU0073|9.00|TW
Karkotis|TS09|SU0074|14.00|HU
Karkotis|TS09|SU0074|16.00|LU
Karkotis|TS09|SU0074|16.00|TW
Karkotis|TS09|SU0075|2.00|HU
Karkotis|TS09|SU0075|2.00|LU
Karkotis|TS09|SU0075|1.00|TW
Karkotis|TS09|SU0076|2.00|CW
Karkotis|TS09|SU0076|41.00|HU
Karkotis|TS09|SU0076|40.00|LU
Karkotis|TS09|SU0076|11.00|TW
Karkotis|TS09|SU0077|1.00|Ar
Karkotis|TS09|SU0077|18.00|HU
Karkotis|TS09|SU0077|17.00|LU
