ISZ|SIANo|SUNo|SumOfNoPiece|Func
Karkotis|TS16|SU0392|3.00|TW
Karkotis|TS16|SU0393|1.00|Ar
Karkotis|TS16|SU0393|3.00|CW
Karkotis|TS16|SU0393|15.00|HU
Karkotis|TS16|SU0393|23.00|LU
Karkotis|TS16|SU0393|1.00|PO
Karkotis|TS16|SU0393|8.00|TW
Karkotis|TS16|SU0394|1.00|CW
Karkotis|TS16|SU0394|17.00|HU
Karkotis|TS16|SU0394|4.00|LU
Karkotis|TS16|SU0394|3.00|TW
Karkotis|TS16|SU0395|2.00|Ar
Karkotis|TS16|SU0395|6.00|HU
Karkotis|TS16|SU0395|2.00|LU
Karkotis|TS16|SU0395|3.00|TW
Extensive|TS02|SU0601|1.00|CW
Extensive|TS02|SU0602|1.00|HU
Extensive|TS02|SU0602|1.00|LU
Extensive|TS02|SU0602|1.00|TW
Extensive|TS02|SU0603|2.00|CW
Extensive|TS02|SU0603|1.00|TW
Extensive||SU0613|1.00|CW
Extensive||SU0613|2.00|LU
Xyliatos|TS02|SU0614|20.00|Ar
Xyliatos|TS02|SU0614|35.00|CW
Xyliatos|TS02|SU0614|81.00|HU
Xyliatos|TS02|SU0614|51.00|LU
Xyliatos|TS02|SU0614|17.00|TW
Xyliatos|TS02|SU0615|16.00|Ar
Xyliatos|TS02|SU0615|30.00|CW
Xyliatos|TS02|SU0615|52.00|HU
Xyliatos|TS02|SU0615|36.00|LU
Xyliatos|TS02|SU0615|2.00|Tr
Xyliatos|TS02|SU0615|20.00|TW
Xyliatos|TS02|SU0616|13.00|Ar
Xyliatos|TS02|SU0616|33.00|CW
Xyliatos|TS02|SU0616|52.00|HU
Xyliatos|TS02|SU0616|38.00|LU
Xyliatos|TS02|SU0616|1.00|Tr
Xyliatos|TS02|SU0616|19.00|TW
Xyliatos|TS02|SU0617|11.00|Ar
Xyliatos|TS02|SU0617|20.00|CW
Xyliatos|TS02|SU0617|50.00|HU
Xyliatos|TS02|SU0617|56.00|LU
Xyliatos|TS02|SU0617|9.00|TW
Xyliatos|TS02|SU0618|12.00|Ar
Xyliatos|TS02|SU0618|6.00|CW
Xyliatos|TS02|SU0618|41.00|HU
Xyliatos|TS02|SU0618|32.00|LU
Xyliatos|TS02|SU0618|3.00|Tr
Xyliatos|TS02|SU0618|19.00|TW
Xyliatos|TS02|SU0618|2.00|U
Xyliatos|TS02|SU0619|10.00|Ar
Xyliatos|TS02|SU0619|25.00|CW
Xyliatos|TS02|SU0619|119.00|HU
Xyliatos|TS02|SU0619|52.00|LU
Xyliatos|TS02|SU0619|3.00|Tr
Xyliatos|TS02|SU0619|37.00|TW
Xyliatos|TS02|SU0620|18.00|Ar
Xyliatos|TS02|SU0620|6.00|CW
Xyliatos|TS02|SU0620|19.00|HU
Xyliatos|TS02|SU0620|15.00|LU
Xyliatos|TS02|SU0620|4.00|TW
Xyliatos|TS02|SU0621|8.00|Ar
Xyliatos|TS02|SU0621|10.00|CW
Xyliatos|TS02|SU0621|64.00|HU
Xyliatos|TS02|SU0621|38.00|LU
Xyliatos|TS02|SU0621|8.00|TW
Xyliatos|TS02|SU0622|10.00|Ar
Xyliatos|TS02|SU0622|29.00|CW
Xyliatos|TS02|SU0622|151.00|HU
Xyliatos|TS02|SU0622|41.00|LU
Xyliatos|TS02|SU0622|3.00|Tr
Xyliatos|TS02|SU0622|14.00|TW
Xyliatos|TS02|SU0623|2.00|Ar
Xyliatos|TS02|SU0623|10.00|CW
Xyliatos|TS02|SU0623|20.00|HU
Xyliatos|TS02|SU0623|28.00|LU
Xyliatos|TS02|SU0623|5.00|TW
Xyliatos|TS02|SU0624|4.00|HU
Xyliatos|TS02|SU0625|9.00|CW
Xyliatos|TS02|SU0625|21.00|HU
Xyliatos|TS02|SU0625|43.00|LU
Xyliatos|TS02|SU0625|2.00|TW
Xyliatos|TS02|SU0626|9.00|Ar
Xyliatos|TS02|SU0626|11.00|CW
Xyliatos|TS02|SU0626|45.00|HU
Xyliatos|TS02|SU0626|31.00|LU
Xyliatos|TS02|Su0626|22.00|TW
Xyliatos|TS02|SU0627|2.00|Ar
Xyliatos|TS02|SU0627|3.00|CW
Xyliatos|TS02|SU0627|7.00|HU
Xyliatos|TS02|SU0627|10.00|LU
Xyliatos|TS02|SU0627|5.00|TW
Xyliatos|TS02|SU0628|3.00|Ar
Xyliatos|TS02|SU0628|2.00|CW
Xyliatos|TS02|SU0628|9.00|HU
Xyliatos|TS02|SU0628|10.00|LU
Xyliatos|TS02|SU0628|1.00|TW
Xyliatos|TS02|SU0628|1.00|Un
Xyliatos|TS02|SU0629|3.00|Ar
Xyliatos|TS02|SU0629|4.00|CW
Xyliatos|TS02|SU0629|11.00|HU
Xyliatos|TS02|SU0629|10.00|LU
Xyliatos|TS02|SU0629|1.00|TW
Xyliatos|TS02|SU0630|2.00|Ar
Xyliatos|TS02|SU0630|4.00|CW
Xyliatos|TS02|SU0630|17.00|HU
Xyliatos|TS02|SU0630|9.00|LU
Xyliatos|TS02|SU0631|6.00|Ar
Xyliatos|TS02|SU0631|2.00|CW
Xyliatos|TS02|SU0631|14.00|HU
Xyliatos|TS02|SU0631|11.00|LU
Xyliatos|TS02|SU0631|3.00|TW
Xyliatos|TS02|SU0632|2.00|CW
Xyliatos|TS02|SU0632|15.00|HU
Xyliatos|TS02|SU0632|3.00|LU
Xyliatos|TS02|SU0632|6.00|TW
Xyliatos|TS02|SU0633|5.00|Ar
Xyliatos|TS02|SU0633|11.00|HU
Xyliatos|TS02|SU0633|5.00|LU
Xyliatos|TS02|SU0633|4.00|TW
Xyliatos|TS02|SU0634|2.00|HU
Xyliatos|TS02|SU0634|4.00|LU
Xyliatos|TS02|SU0634|8.00|TW
Xyliatos|TS02|SU0635|5.00|CW
Xyliatos|TS02|SU0635|3.00|HU
Xyliatos|TS02|SU0635|10.00|LU
Xyliatos|TS02|SU0636|2.00|CW
Xyliatos|TS02|SU0636|5.00|HU
Xyliatos|TS02|SU0637|6.00|Ar
Xyliatos|TS02|SU0637|3.00|CW
Xyliatos|TS02|SU0637|1.00|HU
Xyliatos|TS02|SU0637|14.00|LU
Xyliatos|TS02|SU0637|3.00|TW
Xyliatos|TS02|SU0638|8.00|Ar
Xyliatos|TS02|SU0638|4.00|CW
Xyliatos|TS02|SU0638|12.00|HU
Xyliatos|TS02|SU0638|24.00|LU
Xyliatos|TS02|SU0638|1.00|TW
Xyliatos|TS02|SU0638|1.00|Un
Xyliatos|TS02|SU0639|14.00|Ar
Xyliatos|TS02|SU0639|9.00|CW
Xyliatos|TS02|SU0639|23.00|HU
Xyliatos|TS02|SU0639|20.00|LU
Xyliatos|TS02|SU0639|8.00|TW
Xyliatos|TS02|Su0640|8.00|Ar
Xyliatos|TS02|SU0640|3.00|CW
Xyliatos|TS02|SU0640|23.00|HU
Xyliatos|TS02|SU0640|8.00|LU
Xyliatos|TS02|SU0640|5.00|TW
Xyliatos||SU0652|1.00|LU
Xyliatos||SU0653|1.00|TW
Xyliatos||SU0654|1.00|TW
Xyliatos||SU0657|4.00|LU
Xyliatos||SU0658|8.00|CW
Xyliatos||SU0658|3.00|HU
Xyliatos||SU0658|12.00|LU
Xyliatos||SU0658|2.00|TW
Xyliatos|TS02|SU0659|4.00|Ar
Xyliatos|TS02|SU0659|6.00|CW
Xyliatos|TS02|SU0659|16.00|HU
Xyliatos|TS02|SU0659|16.00|LU
Xyliatos|TS02|SU0659|3.00|TW
Xyliatos|TS02|SU0660|9.00|Ar
Xyliatos|TS02|SU0660|2.00|CW
Xyliatos|TS02|SU0660|8.00|HU
Xyliatos|TS02|SU0660|11.00|LU
Xyliatos|TS02|SU0660|5.00|TW
Xyliatos|TS02|SU0661|10.00|Ar
Xyliatos|TS02|SU0661|7.00|CW
Xyliatos|TS02|SU0661|16.00|HU
Xyliatos|TS02|SU0661|27.00|LU
Xyliatos|TS02|SU0661|2.00|Tr
Xyliatos|TS02|SU0661|5.00|TW
||SU0702c|13.00|Ar
||SU0702c|24.00|HU
||SU0702c|6.00|LU
||SU0702c|3.00|Tr
||SU0702c|7.00|TW
||SU0703|25.00|Ar
||SU0703|3.00|CW
||SU0703|26.00|HU
||SU0703|26.00|LU
||SU0703|2.00|Tr
||SU0703|2.00|TW
Karkotis|TS11|SU1001|11.00|Ar
Karkotis|TS11|SU1001|3.00|CW
Karkotis|TS11|SU1001|14.00|HU
Karkotis|TS11|SU1001|25.00|LU
Karkotis|TS11|SU1001|6.00|TW
Karkotis|TS11|SU1001|1.00|U
Karkotis|TS11|SU1001|2.00|Un
Karkotis|TS11|SU1002|9.00|Ar
Karkotis|TS11|SU1002|5.00|CW
Karkotis|TS11|SU1002|45.00|HU
Karkotis|TS11|SU1002|17.00|LU
Karkotis|TS11|SU1002|1.00|Tr
Karkotis|TS11|SU1002|6.00|TW
Karkotis|TS11|SU1003|10.00|Ar
Karkotis|TS11|SU1003|3.00|CW
Karkotis|TS11|SU1003|16.00|HU
Karkotis|TS11|SU1003|10.00|LU
Karkotis|TS11|SU1003|5.00|Tr
Karkotis|TS11|SU1003|7.00|TW
Karkotis|TS11|SU1004|11.00|Ar
Karkotis|TS11|SU1004|2.00|CW
Karkotis|TS11|SU1004|29.00|HU
Karkotis|TS11|SU1004|22.00|LU
Karkotis|TS11|SU1004|1.00|Tr
Karkotis|TS11|SU1004|10.00|TW
Karkotis|TS13|SU1006|5.00|Ar
Karkotis|TS13|SU1006|29.00|CW
Karkotis|TS13|SU1006|25.00|HU
Karkotis|TS13|SU1006|27.00|LU
Karkotis|TS13|SU1006|10.00|Tr
Karkotis|TS13|SU1006|27.00|TW
Karkotis||SU1007|12.00|Ar
Karkotis||SU1007|6.00|CW
Karkotis||SU1007|6.00|HU
Karkotis||SU1007|11.00|LU
Karkotis||SU1007|1.00|PO
Karkotis||SU1007|1.00|Tr
Karkotis||SU1007|10.00|TW
Karkotis||SU1008|11.00|Ar
Karkotis||SU1008|5.00|CW
Karkotis||SU1008|18.00|HU
Karkotis||SU1008|10.00|LU
Karkotis||SU1008|1.00|Tr
Karkotis||SU1008|6.00|TW
Karkotis||SU1009|15.00|Ar
Karkotis||SU1009|8.00|CW
Karkotis||SU1009|2.00|HU
Karkotis||SU1009|22.00|LU
Karkotis||SU1009|13.00|TW
Karkotis||SU1010|7.00|Ar
Karkotis||SU1010|12.00|CW
Karkotis||SU1010|8.00|HU
Karkotis||SU1010|20.00|LU
Karkotis||SU1010|15.00|TW
Karkotis||SU1011|5.00|Ar
Karkotis||SU1011|7.00|CW
Karkotis||SU1011|7.00|HU
Karkotis||SU1011|13.00|LU
Karkotis||SU1011|22.00|TW
Karkotis|TS09|SU1012|4.00|Ar
Karkotis|TS09|SU1012|7.00|CW
Karkotis|TS09|SU1012|14.00|HU
Karkotis|TS09|SU1012|31.00|LU
Karkotis|TS09|SU1012|3.00|TW
Karkotis|TS09|SU1013|17.00|HU
Karkotis|TS09|SU1013|22.00|LU
Karkotis|TS09|SU1013|11.00|TW
Karkotis|TS09|SU1014|1.00|CW
Karkotis|TS09|SU1014|21.00|HU
Karkotis|TS09|SU1014|22.00|LU
Karkotis|TS09|SU1014|7.00|TW
Karkotis|TS09|SU1014|1.00|Un
Karkotis||SU1015|11.00|Ar
Karkotis||SU1015|16.00|CW
Karkotis||SU1015|27.00|HU
Karkotis||SU1015|2.00|La
Karkotis||SU1015|53.00|LU
Karkotis||SU1015|1.00|Tr
Karkotis||SU1015|32.00|TW
Karkotis||SU1016|8.00|Ar
Karkotis||SU1016|28.00|CW
Karkotis||SU1016|18.00|HU
Karkotis||SU1016|33.00|LU
Karkotis||SU1016|4.00|Tr
Karkotis||SU1016|26.00|TW
Karkotis||SU1017|5.00|Ar
Karkotis||SU1017|1.00|CW
Karkotis||SU1017|19.00|HU
Karkotis||SU1017|17.00|LU
Karkotis||SU1017|7.00|TW
Karkotis||SU1017|1.00|Un
Karkotis||SU1018|5.00|Ar
Karkotis||SU1018|21.00|HU
Karkotis||SU1018|11.00|LU
Karkotis||SU1018|3.00|TW
Karkotis||SU1019|4.00|Ar
Karkotis||SU1019|7.00|HU
Karkotis||SU1019|1.00|LU
Karkotis||SU1019|3.00|TW
Karkotis||SU1020|2.00|Ar
Karkotis||SU1020|4.00|CW
Karkotis||SU1020|10.00|HU
Karkotis||SU1020|12.00|LU
Karkotis||SU1020|2.00|TW
Karkotis||SU1021|5.00|Ar
Karkotis||SU1021|7.00|HU
Karkotis||SU1021|11.00|LU
Karkotis||SU1022|10.00|Ar
Karkotis||SU1022|15.00|CW
Karkotis||SU1022|21.00|HU
Karkotis||SU1022|57.00|LU
Karkotis||SU1022|2.00|Tr
Karkotis||SU1022|35.00|TW
Karkotis||SU1022|1.00|Un
Karkotis||SU1023|10.00|Ar
Karkotis||SU1023|11.00|CW
Karkotis||SU1023|29.00|HU
Karkotis||SU1023|1.00|La
Karkotis||SU1023|34.00|LU
Karkotis||SU1023|19.00|TW
Karkotis||SU1024|9.00|Ar
Karkotis||SU1024|24.00|CW
Karkotis||SU1024|24.00|HU
Karkotis||SU1024|1.00|La
Karkotis||SU1024|52.00|LU
Karkotis||SU1024|1.00|Tr
Karkotis||SU1024|31.00|TW
Karkotis||SU1025|17.00|Ar
Karkotis||SU1025|2.00|CW
Karkotis||SU1025|27.00|HU
Karkotis||SU1025|22.00|LU
Karkotis||SU1025|4.00|Tr
Karkotis||SU1025|2.00|TW
Karkotis||SU1026|3.00|Ar
Karkotis||SU1026|5.00|CW
Karkotis||SU1026|17.00|HU
Karkotis||SU1026|32.00|LU
Karkotis||SU1026|14.00|TW
Karkotis||SU1026|1.00|Un
Karkotis||SU1027|1.00|Ar
Karkotis||SU1027|7.00|HU
Karkotis||SU1027|26.00|LU
Karkotis||SU1027|1.00|Tr
Karkotis||SU1027|3.00|TW
Karkotis||SU1027|1.00|Un
Karkotis||SU1028|1.00|Ar
Karkotis||SU1028|2.00|CW
Karkotis||SU1028|15.00|HU
Karkotis||SU1028|20.00|LU
Karkotis||SU1028|4.00|TW
Karkotis||SU1029|12.00|CW
Karkotis||SU1029|8.00|HU
Karkotis||SU1029|22.00|LU
Karkotis||SU1029|1.00|Tr
Karkotis||SU1029|13.00|TW
Karkotis||SU1030|1.00|Ar
Karkotis||SU1030|1.00|CW
Karkotis||SU1030|26.00|HU
Karkotis||SU1030|49.00|LU
Karkotis||SU1030|4.00|TW
Karkotis||SU1031|2.00|Ar
Karkotis||SU1031|1.00|CW
Karkotis||SU1031|6.00|HU
Karkotis||SU1031|28.00|LU
Karkotis||SU1031|3.00|TW
Karkotis||SU1032|4.00|Ar
Karkotis||SU1032|6.00|CW
Karkotis||SU1032|14.00|HU
Karkotis||SU1032|17.00|LU
Karkotis||SU1032|7.00|TW
Karkotis||SU1033|2.00|Ar
Karkotis||SU1033|1.00|CW
Karkotis||SU1033|4.00|LU
Karkotis||SU1033|2.00|TW
Karkotis||SU1034|1.00|Ar
Karkotis||SU1034|7.00|CW
Karkotis||SU1034|18.00|HU
Karkotis||SU1034|16.00|LU
Karkotis||SU1034|9.00|TW
Karkotis||SU1035|5.00|Ar
Karkotis||SU1035|8.00|CW
Karkotis||SU1035|14.00|HU
Karkotis||SU1035|27.00|LU
Karkotis||SU1035|1.00|Tr
Karkotis||SU1035|13.00|TW
Karkotis||SU1036|5.00|Ar
Karkotis||SU1036|10.00|CW
Karkotis||SU1036|19.00|HU
Karkotis||SU1036|28.00|LU
Karkotis||SU1036|10.00|TW
Karkotis||SU1037|5.00|Ar
Karkotis||SU1037|7.00|CW
Karkotis||SU1037|9.00|HU
Karkotis||SU1037|24.00|LU
Karkotis||SU1037|16.00|TW
Karkotis||SU1038|6.00|Ar
Karkotis||SU1038|3.00|CW
Karkotis||SU1038|17.00|HU
Karkotis||SU1038|41.00|LU
Karkotis||SU1038|23.00|TW
Karkotis||SU1039|9.00|Ar
Karkotis||SU1039|11.00|CW
Karkotis||SU1039|41.00|HU
Karkotis||SU1039|43.00|LU
Karkotis||SU1039|1.00|Tr
Karkotis||SU1039|24.00|TW
Karkotis||SU1040|6.00|Ar
Karkotis||SU1040|3.00|CW
Karkotis||SU1040|20.00|HU
Karkotis||SU1040|27.00|LU
Karkotis||SU1040|3.00|Tr
Karkotis||SU1040|13.00|TW
Karkotis||SU1041|6.00|Ar
Karkotis||SU1041|1.00|CW
Karkotis||SU1041|14.00|HU
Karkotis||SU1041|17.00|LU
Karkotis||SU1041|2.00|TW
Karkotis||SU1042|5.00|Ar
Karkotis||SU1042|6.00|CW
Karkotis||SU1042|36.00|HU
Karkotis||SU1042|40.00|LU
Karkotis||SU1042|10.00|TW
Karkotis||SU1043|2.00|Ar
Karkotis||SU1043|29.00|HU
Karkotis||SU1043|1.00|La
Karkotis||SU1043|40.00|LU
Karkotis||SU1043|1.00|Tr
Karkotis||SU1043|4.00|TW
Karkotis||SU1044|5.00|Ar
Karkotis||SU1044|7.00|CW
Karkotis||SU1044|36.00|HU
Karkotis||SU1044|39.00|LU
Karkotis||SU1044|14.00|TW
Karkotis||SU1045|1.00|Ar
Karkotis||SU1045|19.00|HU
Karkotis||SU1045|18.00|LU
Karkotis||SU1045|2.00|TW
Karkotis||SU1046|9.00|Ar
Karkotis||SU1046|4.00|CW
Karkotis||SU1046|23.00|HU
Karkotis||SU1046|1.00|La
Karkotis||SU1046|30.00|LU
Karkotis||SU1046|12.00|TW
Karkotis||SU1046|1.00|U
Karkotis||SU1047|1.00|Ar
Karkotis||SU1047|4.00|CW
Karkotis||SU1047|15.00|HU
Karkotis||SU1047|16.00|LU
Karkotis||SU1047|6.00|TW
Karkotis||SU1048|7.00|Ar
Karkotis||SU1048|4.00|CW
Karkotis||SU1048|14.00|HU
Karkotis||SU1048|25.00|LU
Karkotis||SU1048|1.00|Tr
Karkotis||SU1048|7.00|TW
Karkotis||SU1049|6.00|CW
Karkotis||SU1049|9.00|HU
Karkotis||SU1049|30.00|LU
Karkotis||SU1049|7.00|TW
Karkotis||SU1050|3.00|Ar
Karkotis||SU1050|2.00|CW
Karkotis||SU1050|17.00|HU
Karkotis||SU1050|23.00|LU
Karkotis||SU1050|1.00|Tr
Karkotis||SU1050|7.00|TW
Karkotis||SU1051|4.00|Ar
Karkotis||SU1051|5.00|CW
Karkotis||SU1051|6.00|HU
Karkotis||SU1051|9.00|LU
Karkotis||SU1051|2.00|TW
Karkotis||SU1052|1.00|HU
Karkotis||SU1052|3.00|LU
Karkotis|TS09|SU1053|4.00|Ar
Karkotis|TS09|SU1053|2.00|CW
Karkotis|TS09|SU1053|23.00|HU
Karkotis|TS09|SU1053|36.00|LU
Karkotis|TS09|SU1053|11.00|TW
Karkotis|TS09|SU1054|7.00|Ar
Karkotis|TS09|SU1054|14.00|CW
Karkotis|TS09|SU1054|32.00|HU
Karkotis|TS09|SU1054|63.00|LU
Karkotis|TS09|SU1054|1.00|PO
Karkotis|TS09|SU1054|17.00|TW
Karkotis|TS09|SU1055|2.00|Ar
Karkotis|TS09|SU1055|24.00|HU
Karkotis|TS09|SU1055|32.00|LU
Karkotis|TS09|SU1055|9.00|TW
Karkotis|TS09|SU1056|4.00|Ar
Karkotis|TS09|SU1056|4.00|CW
Karkotis|TS09|SU1056|21.00|HU
Karkotis|TS09|SU1056|45.00|LU
Karkotis|TS09|SU1056|7.00|TW
Karkotis|TS09|SU1057|2.00|Ar
Karkotis|TS09|SU1057|4.00|CW
Karkotis|TS09|SU1057|19.00|HU
Karkotis|TS09|SU1057|41.00|LU
Karkotis|TS09|SU1057|8.00|TW
Karkotis|TS09|SU1058|1.00|Ar
Karkotis|TS09|SU1058|2.00|CW
Karkotis|TS09|SU1058|23.00|HU
Karkotis|TS09|SU1058|37.00|LU
Karkotis|TS09|SU1058|1.00|Tr
Karkotis|TS09|SU1058|7.00|TW
Karkotis|TS09|SU1059|1.00|Ar
Karkotis|TS09|SU1059|4.00|CW
Karkotis|TS09|SU1059|18.00|HU
Karkotis|TS09|SU1059|27.00|LU
Karkotis|TS09|SU1059|7.00|TW
Karkotis|TS09|SU1060|3.00|Ar
Karkotis|TS09|SU1060|6.00|CW
Karkotis|TS09|SU1060|19.00|HU
Karkotis|TS09|SU1060|27.00|LU
Karkotis|TS09|SU1060|1.00|Tr
Karkotis|TS09|SU1060|8.00|TW
Karkotis|TS09|SU1061|4.00|Ar
Karkotis|TS09|SU1061|14.00|CW
Karkotis|TS09|SU1061|27.00|HU
Karkotis|TS09|SU1061|1.00|La
Karkotis|TS09|SU1061|68.00|LU
Karkotis|TS09|SU1061|1.00|Tr
Karkotis|TS09|SU1061|17.00|TW
Karkotis|TS09|SU1062|3.00|Ar
Karkotis|TS09|SU1062|10.00|CW
Karkotis|TS09|SU1062|27.00|HU
Karkotis|TS09|SU1062|54.00|LU
Karkotis|TS09|SU1062|20.00|TW
Karkotis|TS09|SU1063|4.00|Ar
Karkotis|TS09|SU1063|6.00|CW
Karkotis|TS09|SU1063|36.00|HU
Karkotis|TS09|SU1063|1.00|La
Karkotis|TS09|SU1063|72.00|LU
Karkotis|TS09|SU1063|25.00|TW
Karkotis|TS09|SU1064|5.00|Ar
Karkotis|TS09|SU1064|11.00|CW
Karkotis|TS09|SU1064|22.00|HU
Karkotis|TS09|SU1064|1.00|La
Karkotis|TS09|SU1064|82.00|LU
Karkotis|TS09|SU1064|1.00|PO
Karkotis|TS09|SU1064|23.00|TW
Karkotis|TS09|SU1065|5.00|Ar
Karkotis|TS09|SU1065|8.00|CW
Karkotis|TS09|SU1065|33.00|HU
Karkotis|TS09|SU1065|56.00|LU
Karkotis|TS09|SU1065|1.00|Tr
Karkotis|TS09|SU1065|23.00|TW
Karkotis|TS09|SU1066|8.00|CW
Karkotis|TS09|SU1066|31.00|HU
Karkotis|TS09|SU1066|65.00|LU
Karkotis|TS09|SU1066|5.00|TW
Karkotis|TS09|SU1067|1.00|Ar
Karkotis|TS09|SU1067|7.00|CW
Karkotis|TS09|SU1067|40.00|HU
Karkotis|TS09|SU1067|39.00|LU
Karkotis|TS09|SU1067|4.00|TW
Karkotis|TS09|SU1067|1.00|U
Karkotis|TS09|SU1068|2.00|Ar
Karkotis|TS09|SU1068|10.00|CW
Karkotis|TS09|SU1068|20.00|HU
Karkotis|TS09|SU1068|37.00|LU
Karkotis|TS09|SU1068|11.00|TW
Karkotis|TS09|SU1069|3.00|CW
Karkotis|TS09|SU1069|17.00|HU
Karkotis|TS09|SU1069|24.00|LU
Karkotis|TS09|SU1069|1.00|Tr
Karkotis|TS09|SU1069|1.00|TW
Karkotis|TS09|SU1070|8.00|CW
Karkotis|TS09|SU1070|22.00|HU
Karkotis|TS09|SU1070|41.00|LU
Karkotis|TS09|SU1070|1.00|Tr
Karkotis|TS09|SU1070|8.00|TW
Karkotis|TS09|SU1071|1.00|Ar
Karkotis|TS09|SU1071|1.00|CW
Karkotis|TS09|SU1071|29.00|HU
Karkotis|TS09|SU1071|24.00|LU
Karkotis|TS09|SU1071|5.00|TW
Karkotis|TS13|SU1072|5.00|Ar
Karkotis|TS13|SU1072|9.00|CW
Karkotis|TS13|SU1072|24.00|HU
Karkotis|TS13|SU1072|34.00|LU
Karkotis|TS13|SU1072|14.00|TW
Karkotis|TS13|SU1073|6.00|Ar
Karkotis|TS13|SU1073|3.00|CW
Karkotis|TS13|SU1073|21.00|HU
Karkotis|TS13|SU1073|1.00|La
Karkotis|TS13|SU1073|28.00|LU
Karkotis|TS13|SU1073|2.00|Tr
Karkotis|TS13|SU1073|17.00|TW
Karkotis|TS13|SU1074|6.00|Ar
Karkotis|TS13|SU1074|7.00|CW
Karkotis|TS13|SU1074|15.00|HU
Karkotis|TS13|SU1074|24.00|LU
Karkotis|TS13|SU1074|10.00|TW
Karkotis|TS13|SU1074|1.00|Un
Karkotis|TS13|SU1075|6.00|CW
Karkotis|TS13|SU1075|15.00|HU
Karkotis|TS13|SU1075|1.00|La
Karkotis|TS13|SU1075|44.00|LU
Karkotis|TS13|SU1075|1.00|Tr
Karkotis|TS13|SU1075|15.00|TW
Karkotis|TS13|SU1076|6.00|Ar
Karkotis|TS13|SU1076|15.00|CW
Karkotis|TS13|SU1076|21.00|HU
Karkotis|TS13|SU1076|24.00|LU
Karkotis|TS13|SU1076|12.00|TW
Karkotis|TS13|SU1077|6.00|Ar
Karkotis|TS13|SU1077|7.00|CW
Karkotis|TS13|SU1077|8.00|HU
Karkotis|TS13|SU1077|17.00|LU
Karkotis|TS13|SU1077|5.00|TW
Karkotis|TS13|SU1078|3.00|Ar
Karkotis|TS13|SU1078|3.00|CW
Karkotis|TS13|SU1078|6.00|HU
Karkotis|TS13|SU1078|12.00|LU
Karkotis|TS13|SU1078|1.00|TW
Karkotis|TS09|SU1079|3.00|Ar
Karkotis|TS09|SU1079|5.00|CW
Karkotis|TS09|SU1079|36.00|HU
Karkotis|TS09|SU1079|1.00|La
Karkotis|TS09|SU1079|31.00|LU
Karkotis|TS09|SU1079|7.00|TW
Karkotis|TS09|SU1080|1.00|Ar
Karkotis|TS09|SU1080|14.00|HU
Karkotis|TS09|SU1080|32.00|LU
Karkotis|TS09|SU1080|4.00|TW
Karkotis|TS09|SU1081|1.00|CW
Karkotis|TS09|SU1081|8.00|HU
Karkotis|TS09|SU1081|9.00|LU
Karkotis|TS15|SU1082|15.00|Ar
Karkotis|TS15|SU1082|5.00|CW
Karkotis|TS15|SU1082|32.00|HU
Karkotis|TS15|SU1082|35.00|LU
Karkotis|TS15|SU1082|8.00|Tr
Karkotis|TS15|SU1082|9.00|TW
Karkotis|TS15|SU1083|21.00|Ar
Karkotis|TS15|SU1083|16.00|CW
Karkotis|TS15|SU1083|57.00|HU
Karkotis|TS15|SU1083|50.00|LU
Karkotis|TS15|SU1083|8.00|Tr
Karkotis|TS15|SU1083|13.00|TW
Karkotis|TS15|SU1084|1.00|Ar
Karkotis|TS15|SU1084|2.00|HU
Karkotis|TS15|SU1084|9.00|LU
Karkotis|TS15|SU1084|1.00|TW
Karkotis||SU1085|2.00|Ar
Karkotis||SU1085|20.00|HU
Karkotis||SU1085|50.00|LU
Karkotis||SU1085|3.00|TW
Karkotis||SU1086|1.00|Ar
Karkotis||SU1086|1.00|CW
Karkotis||SU1086|23.00|HU
Karkotis||SU1086|47.00|LU
Karkotis||SU1086|5.00|TW
Karkotis||SU1087|4.00|Ar
Karkotis||SU1087|51.00|HU
Karkotis||SU1087|38.00|LU
Karkotis||SU1087|2.00|Tr
Karkotis||SU1087|6.00|TW
Karkotis||SU1088|3.00|Ar
Karkotis||SU1088|3.00|CW
Karkotis||SU1088|20.00|HU
Karkotis||SU1088|23.00|LU
Karkotis||SU1088|9.00|TW
Karkotis|TS09|SU1089|2.00|Ar
Karkotis|TS09|SU1089|9.00|HU
Karkotis|TS09|SU1089|13.00|LU
Karkotis|TS09|SU1089|2.00|TW
Karkotis|TS09|SU1091|1.00|HU
Karkotis|TS09|SU1091|2.00|LU
Karkotis|TS09|SU1092|2.00|HU
Karkotis|TS09|SU1092|3.00|LU
Karkotis||SU1093|5.00|LU
Karkotis|TS09|SU1094|4.00|Ar
Karkotis|TS09|SU1094|11.00|HU
Karkotis|TS09|SU1094|28.00|LU
Karkotis|TS09|SU1094|7.00|TW
Karkotis||SU1095|6.00|Ar
Karkotis||SU1095|1.00|CW
Karkotis||SU1095|25.00|HU
Karkotis||SU1095|16.00|LU
Karkotis||SU1095|8.00|TW
Karkotis||SU1096|2.00|CW
Karkotis||SU1096|9.00|HU
Karkotis||SU1096|2.00|LU
Karkotis||SU1096|5.00|TW
Karkotis|TS09|SU1099|3.00|HU
Karkotis|TS11|SU1302|11.00|Ar
Karkotis|TS11|SU1302|1.00|CW
Karkotis|TS11|SU1302|19.00|HU
Karkotis|TS11|SU1302|10.00|LU
