ISZ|SIANo|SUNo|SumOfNoPieces|Mat
Karkotis||SU2029|6.00|Jas
Karkotis||SU2030|3.00|Jas
Karkotis||SU2030|1.00|LTr
Karkotis||SU2031|3.00|Jas
Karkotis||SU2033|1.00|Jas
Karkotis||SU2034|11.00|Jas
Karkotis||SU2037|5.00|Jas
Karkotis||SU2041|1.00|Jas
Karkotis||SU2042|1.00|Jas
Karkotis||SU2046|1.00|
Karkotis||SU2050|2.00|Jas
Karkotis||SU2052|1.00|Jas
Karkotis||SU2053|1.00|Jas
Karkotis||SU2056|4.00|Jas
Karkotis||SU2057|1.00|Cha
Karkotis||SU2058|1.00|Jas
Karkotis||SU2060|1.00|
Karkotis||SU2060|1.00|Dia
Karkotis||SU2064|1.00|Cha
Karkotis||SU2064|1.00|Jas
Karkotis||SU2066|1.00|Jas
Karkotis||SU2068|2.00|Jas
Karkotis||SU2069|4.00|Jas
Karkotis||SU2070|2.00|Jas
Karkotis|TS06|SU2078|3.00|
Karkotis|TS06|SU2078|1.00|Jas
Karkotis|TS06|SU2082|1.00|Jas
Karkotis|TS06|SU2083|7.00|Dia
Karkotis|TS06|SU2083|1.00|Gab
Karkotis|TS06|SU2083|1.00|MGa
Karkotis|TS06|SU2085|1.00|Bas
Karkotis|TS06|SU2085|2.00|Dia
Karkotis|TS06|SU2085|1.00|Jas
Karkotis|TS06|SU2085|1.00|LTr
Karkotis|TS06|SU2085|1.00|Tra
Atsas||SU2096|1.00|Jas
Karkotis|TS06|SU2104|1.00|
Karkotis|TS06|SU2104|11.00|Dia
Karkotis|TS06|SU2104|4.00|Jas
Karkotis|TS06|SU2104|1.00|LBa
Karkotis|TS06|SU2104|1.00|MGa
Karkotis|TS06|SU2104|1.00|Prx
Atsas||SU2105|1.00|Jas
Atsas||SU2117|1.00|Tra
Karkotis|TS15|SU2131|2.00|Jas
Karkotis|TS15|SU2134|1.00|Cha
Karkotis|TS15|SU2134|1.00|Jas
Karkotis|TS15|SU2135|1.00|Jas
Karkotis|TS15|SU2138|1.00|Jas
Karkotis|TS15|SU2139|1.00|Jas
Atsas||SU2148|1.00|Jas
Atsas||SU2151|1.00|Jas
Atsas|TS18|SU2162|1.00|Vas
Atsas||SU2171|2.00|Gab
Atsas||SU2172|1.00|Jas
Atsas||SU2173|1.00|LBa
Atsas||SU2173|1.00|LTr
Atsas||SU2175|1.00|LTr
Atsas||SU2176|2.00|Jas
Atsas||SU2177|3.00|Jas
Atsas||SU2178|1.00|Jas
Atsas||SU2180|2.00|Jas
Atsas||SU2182|1.00|Jas
Atsas|TS20|SU2187|1.00|
Atsas|TS20|SU2187|7.00|Jas
Atsas|TS20|SU2187|1.00|Tra
Karkotis|TS09|SU2189|1.00|Dia
Karkotis|TS09|SU2190|1.00|Jas
Asinou|TS08|SU2304|1.00|
Asinou|TS08|SU2304|1.00|Gab
Koutraphas||SU2384|1.00|
Koutraphas||SU2384|2.00|Dia
Koutraphas||SU2384|1.00|Jas
Koutraphas||SU2385|2.00|
Koutraphas||SU2385|3.00|Dia
Koutraphas||SU2385|5.00|Jas
Koutraphas||SU2386|8.00|
Koutraphas||SU2386|2.00|Dia
Koutraphas||SU2386|2.00|Jas
Koutraphas||SU2387|2.00|
Koutraphas||SU2387|1.00|Dia
Koutraphas||SU2387|3.00|Jas
Koutraphas||SU2388|5.00|
Koutraphas||SU2388|1.00|Dia
Koutraphas||SU2388|2.00|Jas
Koutraphas||SU2389|1.00|
Koutraphas||SU2389|2.00|Jas
Koutraphas||SU2390|2.00|
Koutraphas||SU2390|5.00|Jas
Koutraphas||SU2391|2.00|
Xyliatos|TS05|SU2601|1.00|
Xyliatos|TS05|SU2601|22.00|Cha
Xyliatos|TS05|SU2601|2.00|Jas
Xyliatos|TS05|SU2602|2.00|Cha
Xyliatos|TS05|SU2603|1.00|Cha
Xyliatos|TS05|SU2603|1.00|Jas
Xyliatos|TS05|SU2604|2.00|Cha
Xyliatos|TS05|SU2604|1.00|Tra
Xyliatos|TS05|SU2605|2.00|Cha
Xyliatos|TS05|SU2605|1.00|MGa
Xyliatos|TS05|SU2606|2.00|Cha
Xyliatos||SU2607|1.00|Cha
Xyliatos||SU2607|1.00|Jas
Xyliatos||SU2611|1.00|San
Xyliatos|TS05|SU2632|1.00|
Xyliatos|TS05|SU2632|2.00|Cha
Xyliatos|TS05|SU2632|1.00|Dia
Xyliatos|TS05|SU2633|2.00|
Xyliatos|TS05|SU2633|1.00|Cha
Xyliatos|TS05|SU2634|1.00|LTr
Xyliatos|TS05|SU2635|1.00|Cha
Xyliatos|TS05|SU2635|1.00|Dia
Xyliatos|TS05|SU2641|2.00|
Xyliatos|TS05|SU2641|1.00|Cha
Xyliatos|TS05|SU2642|1.00|Cal
Xyliatos|TS05|SU2642|1.00|Cha
Xyliatos|TS05|SU2643|1.00|
Xyliatos|TS05|SU2643|2.00|Cha
Xyliatos|TS05|SU2647|1.00|
Xyliatos|TS05|SU2655|1.00|Cha
Extensive||SU2901|3.00|
Extensive||SU2901|5.00|Jas
Extensive||SU2904|2.00|Jas
Extensive||SU2904|1.00|Tra
Extensive||SU2905|1.00|San
Extensive||SU2909|2.00|
Extensive||SU2909|3.00|Jas
Extensive||SU2910|1.00|Jas
Extensive||SU2911|2.00|Jas
Extensive||SU2913|5.00|Jas
Extensive||SU2914|1.00|Dia
Extensive||SU2914|5.00|Jas
Extensive||SU2915|9.00|Jas
Extensive||SU2919|2.00|Cha
Extensive||SU2919|8.00|Jas
Extensive||SU2920|1.00|Tra
Extensive||SU2921|3.00|Jas
Extensive||SU2922|1.00|Jas
Extensive||SU2924|1.00|Jas
Extensive||SU2925|2.00|Jas
Extensive||SU2927|2.00|
Extensive||SU2937|1.00|Jas
Extensive||SU2942|1.00|
Extensive||SU2942|3.00|Cha
Extensive||SU2944|7.00|Cha
Extensive||SU2945|2.00|Jas
Extensive||SU2954|1.00|
Extensive||SU2957|1.00|Dia
Extensive||SU2960|1.00|Jas
Extensive||SU2961|1.00|
Karkotis|TS11|SU2962|5.00|Jas
Karkotis|TS11|SU2964|2.00|Jas
Karkotis|TS11|SU2965|1.00|Jas
Mandres||SU3006|1.00|Jas
Mandres||SU3008|1.00|Lap
Mandres|TS07|SU3013|1.00|Tra
Mandres|TS07|SU3016|1.00|Jas
Mandres||SU3018|2.00|Jas
Mandres|TS07|SU3023|1.00|Jas
Mandres||SU3026|3.00|
Mandres||SU3026|4.00|Jas
Mandres||SU3027|5.00|Jas
Mandres||SU3028|3.00|Jas
Mandres||SU3032|2.00|Jas
Koutraphas||SU3033|1.00|Jas
Koutraphas||SU3034|3.00|Jas
Koutraphas||SU3034|1.00|Tra
Koutraphas||SU3035|1.00|LBa
Koutraphas||SU3036|1.00|Cha
Koutraphas||SU3036|1.00|Dia
Koutraphas||SU3036|2.00|Jas
Koutraphas||SU3036|1.00|LTr
Koutraphas||SU3037|1.00|Cha
Koutraphas||SU3037|2.00|Jas
Koutraphas||SU3037|1.00|MGa
Koutraphas||SU3038|1.00|Dia
Koutraphas||SU3038|1.00|Jas
Koutraphas||SU3039|1.00|Dia
Koutraphas||SU3039|2.00|Jas
Koutraphas||SU3041|1.00|Dia
Koutraphas||SU3044|1.00|
Koutraphas||SU3045|1.00|Cha
Koutraphas||SU3045|1.00|Dia
Koutraphas||SU3045|3.00|Jas
Koutraphas||SU3046|1.00|Dia
Koutraphas||SU3046|1.00|Jas
Koutraphas||SU3047|1.00|
Koutraphas||SU3047|2.00|Jas
Koutraphas||SU3050|1.00|
Koutraphas||SU3051|1.00|
Koutraphas||SU3051|1.00|LBa
Koutraphas||SU3053|1.00|Cha
Koutraphas||SU3053|2.00|Dia
Koutraphas||SU3054|1.00|
Koutraphas||SU3055|1.00|Jas
Koutraphas||SU3056|3.00|Jas
Koutraphas||SU3057|1.00|Cha
Koutraphas||SU3058|4.00|Jas
Koutraphas||SU3059|1.00|
Koutraphas||SU3059|4.00|Jas
Koutraphas||SU3060|3.00|Jas
Koutraphas||SU3061|1.00|Jas
Koutraphas||SU3062|1.00|Dia
Koutraphas||SU3062|1.00|Jas
Koutraphas||SU3063|1.00|Jas
Koutraphas||SU3064|1.00|Jas
Koutraphas||SU3067|1.00|Jas
Koutraphas||SU3069|1.00|Dia
Koutraphas||SU3070|1.00|Jas
Koutraphas||SU3073|2.00|Jas
Koutraphas||SU3074|1.00|Cha
Koutraphas||SU3074|1.00|CnL
Koutraphas||SU3074|2.00|Jas
Koutraphas||SU3079|1.00|Jas
Koutraphas||SU3081|1.00|LTD
Koutraphas||SU3083|1.00|CnL
Koutraphas||SU3086|1.00|Dia
Koutraphas||SU3087|3.00|Jas
Extensive||SU3097|3.00|Dia
Extensive||SU3097|2.00|Jas
Extensive||SU3098|1.00|Dia
Extensive||SU3100|1.00|Bas
Extensive||SU3100|2.00|Dia
Extensive||SU3100|1.00|Jas
Extensive||SU3100|2.00|MGa
||SU3200|1.00|Bas
