SUNo|<>|Bas|Cha|CnL|Dia|Gab|Gyp|Har|Jas|Lap|LBa|LTD|LTr|Mam|Mar|MGa|Mon|Obs|Pic|Prx|San|SUm|Tra|Umb|Vas
SU2601|0.35||7.82||||||0.71||||||||||||||||
SU2602|||0.56||||||||||||||||||||||
SU2603|||0.50||||||0.50||||||||||||||||
SU2604|||1.24||||||||||||||||||||0.62||
SU2605|||0.80|||||||||||||0.40|||||||||
SU2611|||||||||||||||||||||0.75||||
SU2632|0.50||1.00||0.50||||||||||||||||||||
SU2633|0.73||0.36||||||||||||||||||||||
SU2634|||||||||||||0.15||||||||||||
SU2635|||0.14||0.14||||||||||||||||||||
SU2641|1.01||0.50||||||||||||||||||||||
SU2647|0.67||||||||||||||||||||||||
SU2901|0.19||||||||0.32||||||||||||||||
SU2904|||||||||0.23||||||||||||||0.11||
SU2905|||||||||||||||||||||0.09||||
SU2909|0.16||||||||0.25||||||||||||||||
SU2911|||||||||0.27||||||||||||||||
SU2913|||||||||0.31||||||||||||||||
SU2914|||||0.11||||0.56||||||||||||||||
SU2915|||||||||0.90||||||||||||||||
SU2919|||0.48||||||1.92||||||||||||||||
SU2920|||||||||||||||||||||||0.20||
SU2921|||||||||0.49||||||||||||||||
SU2922|||||||||0.23||||||||||||||||
SU2924|||||||||0.14||||||||||||||||
SU2925|||||||||0.51||||||||||||||||
SU2927|0.52||||||||||||||||||||||||
SU2937|||||||||0.12||||||||||||||||
SU2944|||0.58||||||||||||||||||||||
SU2945|||||||||0.16||||||||||||||||
SU2954|0.12||||||||||||||||||||||||
SU2961|0.24||||||||||||||||||||||||
SU2962|||||||||0.27||||||||||||||||
SU2964|||||||||0.29||||||||||||||||
SU3006|||||||||0.14||||||||||||||||
SU3008||||||||||0.14|||||||||||||||
SU3016|||||||||0.06||||||||||||||||
SU3018|||||||||0.15||||||||||||||||
SU3023|||||||||0.09||||||||||||||||
SU3026|0.18||||||||0.24||||||||||||||||
SU3027|||||||||1.74||||||||||||||||
SU3028|||||||||0.28||||||||||||||||
SU3032|||||||||0.21||||||||||||||||
SU3033|||||||||0.15||||||||||||||||
SU3034|||||||||0.34||||||||||||||0.11||
SU3035|||||||||||0.03||||||||||||||
SU3036|||0.07||0.07||||0.14||||0.07||||||||||||
SU3037|||0.07||||||0.15|||||||0.07|||||||||
SU3038|||||0.07||||0.07||||||||||||||||
SU3039|||||0.05||||0.11||||||||||||||||
SU3044|0.07||||||||||||||||||||||||
SU3045|||0.05||0.05||||0.16||||||||||||||||
SU3046|||||0.04||||0.04||||||||||||||||
SU3047|0.03||||||||0.07||||||||||||||||
SU3050|0.03||||||||||||||||||||||||
SU3051|0.03||||||||||0.03||||||||||||||
SU3053|||0.07||0.14||||||||||||||||||||
SU3054|0.05||||||||||||||||||||||||
SU3055|||||||||0.04||||||||||||||||
SU3056|||||||||0.16||||||||||||||||
SU3057|||0.09||||||||||||||||||||||
SU3058|||||||||0.52||||||||||||||||
SU3059|0.02||||||||0.08||||||||||||||||
SU3060|||||||||0.07||||||||||||||||
SU3061|||||||||0.03||||||||||||||||
SU3062|||||0.04||||0.04||||||||||||||||
SU3063|||||||||0.03||||||||||||||||
SU3064|||||||||0.03||||||||||||||||
SU3067|||||||||0.06||||||||||||||||
SU3069|||||0.05||||||||||||||||||||
SU3070|||||||||0.09||||||||||||||||
SU3073|||||||||0.30||||||||||||||||
SU3074|||0.11|0.11|||||0.23||||||||||||||||
SU3079|||||||||0.06||||||||||||||||
SU3081||||||||||||0.09|||||||||||||
SU3083||||0.06|||||||||||||||||||||
SU3086|||||0.06||||||||||||||||||||
SU3087|||||||||0.43||||||||||||||||
SU3097|||||0.30||||0.20||||||||||||||||
SU3098|||||0.12||||||||||||||||||||
SU3100||0.27|||0.55||||0.27|||||||0.55|||||||||
