SUNo|Cartridge
SU1641|21.00
SU1642|12.00
SU1643|10.00
SU1644|6.00
SU1645|15.00
SU1646|7.00
SU1648|12.00
SU1649|8.00
SU1650|14.00
SU1651|98.00
SU1652|57.00
SU1653|8.00
SU1654|22.00
SU1655|8.00
SU1656|11.00
SU1657|10.00
SU1658|55.00
SU1659|9.00
SU1660|5.00
SU1661|3.00
SU1662|45.00
SU1663|26.00
SU1664|83.00
SU1665|10.00
SU1667|15.00
SU1668|7.00
SU1669|4.00
SU1670|5.00
SU1671|2.00
SU1676|59.00
SU1677|32.00
SU1678|31.00
SU1679|2.00
SU1681|2.00
SU1682|6.00
SU1683|54.00
SU1684|3.00
SU1685|2.00
SU1686|8.00
SU1687|11.00
SU1688|6.00
SU1689|4.00
SU1690|3.00
SU1691|1.00
SU1693|1.00
SU1696|4.00
SU1697|1.00
SU1698|1.00
SU1699|3.00
SU1702|2.00
SU1703|2.00
SU1704|4.00
SU1705|16.00
SU1707|8.00
SU1709|1.00
SU1710|3.00
SU1901|14.00
SU1902|1.00
SU1903|10.00
SU1904|6.00
SU1905|3.00
SU1906|8.00
SU1907|3.00
SU1908|2.00
SU1909|88.00
SU1910|1.00
SU1911|6.00
SU1920|2.00
SU2002|1.00
SU2011|1.00
SU2016|3.00
SU2017|1.00
SU2308|4.00
SU2354|2.00
SU2389|2.00
SU2390|2.00
SU2408|2.00
SU2411|2.00
SU2601|20.00
SU2602|55.00
SU2603|18.00
SU2604|2.00
SU2605|44.00
SU2606|7.00
SU2607|12.00
SU2608|6.00
SU2609|6.00
SU2610|1.00
SU2611|3.00
SU2612|4.00
SU2613|2.00
SU2616|7.00
SU2617|24.00
SU2618|39.00
SU2619|28.00
SU2620|12.00
SU2621|2.00
SU2622|1.00
SU2623|2.00
SU2624|27.00
SU2625|10.00
SU2626|11.00
SU2627|12.00
SU2628|7.00
SU2629|24.00
SU2630|5.00
SU2631|11.00
SU2632|6.00
SU2633|2.00
SU2635|3.00
SU2636|1.00
SU2637|3.00
SU2638|7.00
SU2639|51.00
SU2640|15.00
SU2641|8.00
SU2642|17.00
SU2643|78.00
SU2644|5.00
SU2645|7.00
SU2646|1.00
SU2647|3.00
SU2648|9.00
SU2649|6.00
SU2653|1.00
SU2654|1.00
SU2655|4.00
SU2656|2.00
SU2657|1.00
SU2660|2.00
SU2661|3.00
SU2662|2.00
SU2663|6.00
SU2664|2.00
SU2665|6.00
SU2666|1.00
SU2667|35.00
SU2668|4.00
SU2901|5.00
SU2902|10.00
SU2904|17.00
SU2911|19.00
SU2913|34.00
SU2914|48.00
SU2915|64.00
SU2916|13.00
SU2917|1.00
SU2919|14.00
SU2920|13.00
SU2921|3.00
SU2922|2.00
SU2923|1.00
SU2925|5.00
SU2928|3.00
SU2929|4.00
SU2930|18.00
SU2931|1.00
SU2932|1.00
SU2933|2.00
SU2939|1.00
SU2940|1.00
SU2944|3.00
SU2945|1.00
SU2946|2.00
SU2947|11.00
SU2948|3.00
SU2949|64.00
SU2950|1.00
SU2952|1.00
SU2953|8.00
SU2955|13.00
SU2957|2.00
SU2958|1.00
SU2959|1.00
SU2960|4.00
SU2961|4.00
SU2962|2.00
SU2964|69.00
SU2966|2.00
SU2967|4.00
SU3000|4.00
SU3002|2.00
SU3004|7.00
SU3005|1.00
SU3006|3.00
SU3007|3.00
SU3008|5.00
SU3009|8.00
SU3010|1.00
SU3011|28.00
SU3012|4.00
SU3016|3.00
SU3018|2.00
SU3020|2.00
SU3021|2.00
SU3024|1.00
SU3025|2.00
SU3030|1.00
SU3031|8.00
SU3032|1.00
SU3036|3.00
SU3037|3.00
SU3038|2.00
SU3039|5.00
SU3040|2.00
SU3041|2.00
SU3044|10.00
SU3045|19.00
SU3046|3.00
SU3048|1.00
SU3049|7.00
SU3051|3.00
SU3053|2.00
SU3054|2.00
SU3055|8.00
SU3056|12.00
SU3057|3.00
SU3061|2.00
SU3064|3.00
SU3065|9.00
SU3066|1.00
SU3068|1.00
SU3071|1.00
SU3075|3.00
SU3076|4.00
SU3077|13.00
SU3078|1.00
SU3079|3.00
SU3080|20.00
SU3081|16.00
SU3082|5.00
SU3083|13.00
SU3098|1.00
SU3099|2.00
