SUNo|Ar|CW|HU|LU|PO|Tr|TW|U|Un
SU1033|0.47|||0.47|||0.23||
SU1034|||1.56|3.92|||1.56||
SU1035|1.63||3.27|6.55|||4.09||
SU1036|2.91||1.45||||2.91||
SU1037|2.20|2.94|1.47|7.36|||9.56||
SU1038||1.89|7.57|26.51|||12.31||
SU1039|0.85|7.72|14.59|18.89|||12.02||
SU1040|0.66|0.33|1.32|0.99|||2.98||
SU1041|0.84|0.84|2.53|1.69|||0.84||
SU1042|1.86||6.52|1.86|||5.59||
SU1043|||4.78|3.19|||1.59||
SU1044||0.49|2.46|9.34|||4.92||
SU1045|||0.44||||||
SU1046|1.83|0.61|2.75|3.05|||2.75||
SU1047||0.50|1.52|1.52|||1.01||
SU1048|||0.42|1.70|||0.42||
SU1049|||1.99|3.99|||1.33||
SU1050|0.49||1.99|0.99|||0.49||
SU1051||||0.29|||||
SU1053|0.95|0.63|2.86|0.95|||2.54||
SU1054|1.95|1.46|2.44|3.91|||4.89||
SU1055|1.09||0.54|3.28|||2.73||
SU1056|1.15|1.15|3.45|2.87|||1.72||
SU1057|1.45|0.72||1.45|||3.63||
SU1058||0.51|1.03|2.06|||2.06||
SU1059|||0.82||||||
SU1060|0.71|||2.14|||1.43||
SU1061|||1.59|9.55|||4.77||
SU1062||1.88|2.50|5.64|||6.26||
SU1063|0.68||2.75|3.44|||4.13||
SU1064|0.56|0.56||1.69|||1.69||
SU1065|0.53|1.06||14.33|||3.71||
SU1066||1.92|0.96|11.53|||3.84||
SU1067||0.55|0.55|4.40|||1.10||
SU1068|0.71|5.02|0.71|5.74|||5.74||
SU1069||||1.28|||||
SU1070|||2.08|2.08|||4.17||
SU1071|||1.20|2.01|||1.20||
SU1072|||0.45||||||
SU1073||||0.89|||||
SU1074|0.57||||||||
SU1075|||0.26|1.07|||||
SU1076|1.15|||1.72|||||
SU1077|0.30|0.30||0.90|||0.30||
SU1078||||2.04|||||
SU1079|0.35||0.71|0.71|||0.35||
SU1080|0.58||||||||
SU1081|||0.27||||||
SU1082|||1.75|1.75|||||
SU1083|||2.64|9.69|||||
SU1084||||0.29|||||
SU1085|0.22|||0.22|||0.22||
SU1086|||2.71|1.35|||2.71||
SU1087|||||||1.41||
SU1088||0.84|2.53|3.80|||2.53||
SU1089|||||||0.52||
SU1091||||0.12|||||
SU1092|||0.14||||||
SU1094|1.45|||1.45|||0.72||
SU1095|1.88|0.47|4.70|3.29|||3.29||
SU1096|||3.42||||1.52||
SU1302|0.26||0.61|0.53|||0.53||
SU1303|0.10|0.10|1.18|0.53|||0.32||
SU1305|0.76||3.06|3.82|||1.91||
SU1306|0.69|1.85|2.77|4.86|||2.54||
SU1307||0.18|0.37|0.37|||1.50||
SU1308|||0.83|0.83|||1.11||
SU1309||0.60|3.00|1.80|||0.60||
SU1310|0.19|0.19|0.96|4.22|||2.11||
SU1311|0.89|0.44|2.22|0.89|||3.11||
SU1313||||0.11|||||
SU1314|||0.31|0.10|||||
SU1315|0.15|0.63|2.84|0.94|0.15||3.95||
SU1316||0.80|1.72|2.76||0.11|3.34||
SU1317||2.12|13.81|22.30|||6.37||
SU1318||0.56|6.20|11.84|||4.51||
SU1319|0.85|||11.98|||10.27||
SU1320|0.56|||10.75|||6.79||
SU1322|1.18||1.18|2.75|||2.16||
SU1323|0.57||0.57|0.28|||0.86||
SU1324|||0.31|1.43|||0.63||
SU1325||1.11|3.33|2.88|||5.99||
SU1326||1.22|1.63|6.52|||4.89||
SU1327||0.17|2.10|1.40|||0.52||
SU1328||||0.03|||||
SU1329||||0.06|||||
SU1332||||0.04|||||
SU1336|||0.05||||||
SU1339||0.04|||||0.04||
SU1340|||0.09|0.28|||0.04||
SU1341|0.12|0.19||0.12|||||
SU1342||0.19|||||||
SU1343|||0.14|0.21|||0.07||
SU1344||0.09|0.19||||||
SU1345||0.04|0.04||||0.04||
SU1346||||0.18|||||
SU1349||0.06|0.12||||0.12||
SU1350|||0.04||||||
SU1351|||0.10|0.15|||0.05||
SU1352||||0.13|||||
SU1353|||0.13|0.40|||||
SU1355||||0.14|||||
SU1356|||0.20|0.27|||||
SU1358||||0.46|||0.11||
SU1359|||0.07|0.07|||||
SU1360|||3.78|1.89|||0.18||
SU1361|0.20||0.52|0.31|||0.52||
SU1362|||0.13|0.41|||0.13||
SU1363|1.18||0.23|1.89|||0.23||
SU1364||0.29|1.16|1.45|||0.58||
SU1365|0.10||0.63|0.26|||0.47||
SU1366|0.17|0.17|1.04|0.52|||0.69||
SU1367|||0.12||||||
SU1368||||0.24|||||
SU1369||0.24|0.24|2.24|||||
SU1370|||0.16|0.16|||||
SU1371|||0.69|1.04|||0.11||
SU1379|||||||0.27|0.13|
SU1381||0.42|1.28|0.28|||0.28||
SU1382|0.04|0.04|0.53|0.29|||||
SU1383||0.23|2.30|2.99|||0.46||
SU1384|0.06||0.06|0.18|||0.06||
SU1385||0.13|0.13|0.26|||||
SU1386|||0.14||||||
SU1387||0.05|0.05||||0.02||
SU1602|0.15|||0.07|||||
SU1603|0.16||||||||
SU1604|0.13||||||||
SU1605|1.87|1.33|2.67|3.47|||2.94||
SU1609|||||||0.20||
SU1617|1.32||||||||
SU1620|||6.63|3.31|||8.28||
SU1621||0.57||4.02|||1.14||
SU1623|0.31||0.31||||||
SU1626||||3.13|||7.83||
SU1629|0.21|0.43|0.21||||0.43||
SU1630|1.68|1.68|3.36||||||
SU1631|0.52||2.09||||||
SU1632|||2.07||||2.07||
SU1633||||0.30|||||
SU1634|1.73|1.73|1.73|2.07|||3.46||
SU1636|||1.34||||||
SU1638||0.17|0.35||||||
SU1639|0.97||1.95|0.48|||1.95||
SU1640|||2.76||||0.46||
SU1641|||0.38|0.38|||||
SU1642|0.39|||0.39|||||
SU1644|||0.84||||||
SU1645|||1.31|0.43|||0.43||
SU1646|||||||0.51||
SU1647||0.68|0.68|0.68|||0.68||
SU1648|1.22||3.66|1.22|||4.89||
SU1649|||2.28|3.43|||1.14||
SU1650|0.53|||1.07|||||
SU1651|||0.82|4.11|||||
SU1652|0.50||||||0.25||
SU1653||||0.65|||||
SU1654|0.93|0.46|0.93|0.46|||0.46||
SU1655||||3.37||||1.12|
SU1656|2.53||1.90|1.90|||0.63||
SU1657|1.22||||||0.81||
SU1658|0.91|0.15|0.30||||||
SU1659|||||||0.19||
SU1660|0.66|||0.66|||||
SU1661|0.50||1.01||||1.01||
SU1662|0.51||||||||
SU1663|||0.46|0.46|||||
SU1664|0.16|||0.33|||0.16||
SU1666|2.07|||0.41|||||
SU1667|0.05||0.16||||||
SU1668||||0.09|||||
SU1669|0.29|0.09|||||||
SU1671|0.14||||||||
SU1673||0.26|0.52||||||
SU1677|||||||0.15||
SU1679|||||||0.23||
SU1684||2.52|11.35|3.15|||||
SU1685|||1.82|0.91|||||
SU1686|||||||0.44||
SU1687|0.33||0.67|0.67|||||
SU1688|1.15|2.30|1.15|1.15|||0.57||
SU1689|0.79|0.79|2.37|1.58|||0.79||
SU1697|0.56|||0.37|||0.18||
SU1699|||0.51|1.03|||||
SU1700|||0.85|0.85|||0.85||
SU1701||0.63|1.91||||||
SU1702||||0.73|||0.36||
SU1703|||0.57||||||
SU1704|||0.69|0.46|||0.46||
SU1705||1.09||1.09|||0.54||
SU1706||0.24|0.24||||0.24||
SU1708|||||||0.39||
SU1710|||1.77||||2.21||
SU1908|0.22|||0.11|||0.22||
SU1909||||0.29|||0.09||
SU1910||||0.12|||||
SU1911|||0.24|0.85|||0.12||
SU1914|||0.14||||||
SU1915|||0.20|0.60|||0.60||
SU1916||||1.03|||0.34||
SU1917|||||||0.11||
SU1918|0.33|0.16|||||0.33||
SU1919|||0.12|0.50|||||
SU1920|||0.15|0.15|||0.07||
SU2001|||3.68|3.31|||0.73||
SU2002|2.39|1.19|8.98|5.98|||7.18||
SU2003|0.55|0.83|1.95|4.75|||1.39||
SU2004|0.62|1.04|3.13|3.13|||1.88||
SU2005|||2.26|5.28|||3.01||
SU2007|0.41||6.71|7.55|||0.83|0.83|
SU2008|2.33|2.33|19.46|28.02|||17.90|10.12|
SU2009|0.71|8.20|7.49|13.91|||6.06|0.35|
SU2010|1.60|6.40|8.53|20.27|||12.27|8.53|
SU2011|1.75|6.41|5.25|17.50|||6.41|2.91|
SU2013||1.30|1.63|2.60|||3.58||
SU2014|0.23|0.69|2.78|4.40|||2.55|0.46|
SU2015|0.17|0.17|0.35|1.40|||0.70||
SU2016|0.28|0.28|6.08|8.40|||13.61|0.57|
SU2017|0.35||1.07|9.30|||9.66|0.35|
SU2018|0.21|1.52|1.95|8.03|||3.25||
SU2019||1.57|1.25|9.43|||2.83|0.94|
SU2020||1.62||9.18|||8.64|3.24|
SU2021|2.01|6.04|2.01|20.15|||6.04|1.00|
SU2022||3.40|0.75|4.91|||4.91|2.64|
SU2024||||4.41|||1.26|0.63|
SU2025||||2.23|||||
SU2026||||0.29|||0.29|0.29|
SU2027|||1.53|4.59|||2.55||
SU2028|||0.53||||2.12||
SU2029||2.01|2.01||||3.02||
SU2030|||0.87||||2.18|0.43|
SU2031|0.34||1.03||||||
SU2032|0.24||0.24||||0.12||
SU2033||0.51|4.59|4.08|||3.57||
SU2034||0.49|2.48|1.48|||3.47||
SU2035|0.17||||||||
SU2036||||||||0.16|
SU2042|||0.74|0.74|||1.49||
SU2046|0.16||||||0.16||
SU2047|0.08||0.08||||||
SU2049|0.37|||0.75|||||
SU2050|||0.86||||||
SU2051|||0.40|0.40|||||
SU2052|1.19|||||||0.59|
SU2053||||0.24|||0.49||
SU2054|0.47|||0.47|||0.95|0.47|
SU2055|0.75||0.75||||0.75|0.75|
SU2056|0.88|||3.53|||9.71|3.53|
SU2057|||0.77||||1.55||
SU2058|||0.27|0.82|||2.74|0.27|
SU2059|0.33|||||||0.66|
SU2060|||1.26|0.42|||0.21||
SU2061|||3.15|2.10|||6.30||
SU2062|||0.44||||0.66|0.22|
SU2063|||0.97|0.65|||1.30|0.65|
SU2064|2.40|1.20|3.60|3.60|||8.41|2.40|
SU2065|||1.18|1.77|||2.95|1.77|
SU2066|0.58|0.29||0.29|||0.29||
SU2067||0.40|0.80|0.40|||0.80||
SU2068|||0.22||||0.22||
SU2071|0.86||1.73||||3.91||
SU2072|||0.35||||||
SU2074|0.23||||||0.23||
SU2076|0.47|0.23|||||||
SU2078|0.16|0.16||0.83|||||
SU2079|0.55||0.55|0.37|||0.55|0.18|
SU2080|||0.29|0.29|||||
SU2081|0.65||||||0.21|0.21|
SU2082||||1.42|||0.47||
SU2084||||3.68|||||
SU2085||||0.38|||||
SU2090||||0.17|||||
SU2125|||||||0.22||
SU2128||0.48||0.97|||1.46|8.29|
SU2129|0.49|||0.33|||||
SU2130|||1.06|0.53||||1.06|
SU2131||||3.63|||||
SU2132||||||||5.06|
SU2133||||||||5.08|
SU2134|||0.41|0.41|||0.41|1.65|
SU2135||||2.57|||||
SU2136||||||||0.82|
SU2137||||0.63||||1.27|
SU2139|||2.19|3.29|||1.09|7.69|
SU2140|||||||1.86|3.73|
SU2141||||||||0.69|
SU2165|||||||0.08||
SU2171||||0.27|||||
SU2172|||||||0.17|0.17|
SU2175|||||||0.11||
SU2176||0.78|||||1.97|0.39|
SU2177||0.26|||||||
SU2178||||0.39|||0.09||
SU2180||||||||0.32|
SU2182|||||||0.07||
SU2183||||0.20||||0.10|
SU2185||||0.26|||||
SU2188||3.50||16.34|||15.18|19.85|
SU2189||0.59|||||1.78|0.29|
SU2190||||0.39|||1.96|0.78|
SU2191|1.23|||1.65|||0.41|0.82|
SU2301||2.04|5.63|6.14|||3.58|5.12|
SU2302|1.49|4.11|10.85|15.34|||6.36|4.11|
SU2303|||3.44|6.89|||||
SU2304||1.44|2.88|7.21|||4.32|1.08|
SU2305|0.44|2.22|8.00|6.22|||1.33|0.88|
SU2325||0.09||||||0.09|
SU2326|||0.25|0.25|||||
SU2327|0.14||0.14||||0.14|0.14|
SU2328||||0.80|||||
SU2349|||0.37|0.75|||||
SU2402|||||||0.14||
SU2601|||2.13|1.60|||||
SU2602|||0.36||||||
SU2606|||||||6.92||
SU2608|||||||1.40||
SU2609||||2.60|||||
SU2619||||0.52|||||
SU2624|2.16||0.36||||2.16|1.08|
SU2625|0.96||0.48||||1.45||
SU2632||||||||1.94|
SU2633||||2.21|||1.10||
SU2635|||||||0.80||
SU2636|0.64||||||||
SU2638||||4.00|||||
SU2639|||2.02|2.02|||||
SU2640|||1.71||||||
SU2643||||||||2.33|
SU2645||||5.47|||5.47||
SU2646|1.36|||0.68|||1.36||
SU2647|2.48|0.82|||||1.65||
SU2650||||||||1.05|
SU2652||1.34|||||||
SU2658||||||||3.21|
SU2669|0.45||0.22|||||0.22|
SU2901||||0.45|||||
SU2903||||0.08|||||
SU2904||||0.11|||||
SU2907||||0.11|||||
SU2908||||0.11|||0.11||
SU2914|1.68||0.84|0.33|||0.84|1.34|
SU2915|0.83|||0.55|||0.13|0.27|
SU2922||||0.23|||||
SU2925|1.38|0.92|1.38|1.38|||2.77|0.46|
SU2926|2.32||0.92||||||
SU2927|6.30|2.80|2.80||||2.10|2.10|
SU2928|1.24|0.62|0.31||||1.55||
SU2936|||||||0.18||
SU2948|0.04||||||||
SU2950|0.72||||||||
SU2951|||0.27||||||
SU2964|2.59|0.23|1.41|0.94|||1.18|0.23|
SU3000|||0.03||||||
SU3003||||0.14|||||
SU3006||||0.04|||||
SU3007|||0.05|0.15||||0.10|
SU3008||||||||1.16|
SU3009||||0.11|||||
SU3010||||||||0.55|
SU3012||0.04||0.04|||0.04||
SU3013||||0.34||||0.08|
SU3016|||||||0.53|0.39|
SU3017|||0.14|0.14|||||
SU3018||||0.13|||0.39|0.26|
SU3019||||0.29|||0.29|0.14|
SU3020||||0.05|||||
SU3021||0.09||0.59||||0.09|
SU3023|||||||0.12||
SU3024|0.04|0.04|0.14||||0.19|0.14|
SU3025||||0.05|||||
SU3028||0.12|0.12||||0.12|0.48|
SU3030||||||||0.15|
SU3035|||||||0.08||
SU3039|||||||0.27||
SU3041|||||||0.15||
SU3045|||||||0.09||
SU3046|||||||0.04||
SU3054||||0.05|||||
SU3058||||||||0.21|
SU3069||0.15|||||0.15|0.62|
SU3070||0.16|0.48|1.62|||0.48|0.81|
SU3071||0.78|2.09|4.97|||1.30|1.83|
SU3072||0.29|2.08|4.16|||0.89|1.78|
SU3073||0.71|3.95|1.79|||1.07|1.07|
SU3074||1.55|2.71|3.10|||3.10|2.71|
SU3075||1.68|2.69|1.34|||1.01|2.36|
SU3076||0.41||0.61|||0.41||
SU3077||0.15|0.15|0.31|||||
SU3078||||0.11|||0.11|0.11|
SU3079|||0.12|0.24||||0.06|
SU3080|||0.25|0.62|||0.25|0.25|
SU3081||||0.81|||0.50||
SU3082||0.07|0.71|0.35|||0.50|0.21|
SU3083||0.26|0.53|0.70|||0.35|0.08|
SU3089||||0.12|||||
SU3093|||0.15|0.15|||0.15||
SU3094|||0.16|0.16|||||
SU3095|0.57||||||0.19||
SU3098|0.19||||||0.39||
SU3100|||||||0.24|0.49|
