SUNo|Bl|Co|De|GS|To
SU2134|0.08|0.08|||
SU2135||0.15|||
SU2138|||0.09||
SU2139|||0.19||
SU2148|||0.10||
SU2162||||0.13|
SU2172|||||0.04
SU2173|||||0.09
SU2175|0.06||||
SU2176||0.13|0.13||
SU2177||0.09|0.18||
SU2178||0.09|||
SU2180|||0.21||
SU2182|||0.07||
SU2187||0.35|1.43||1.07
SU2189||||0.14|
SU2190||0.08|||
SU2384|||0.10|0.21|
SU2385|||0.28|0.28|0.19
SU2386|0.12|0.12||0.24|
SU2387||0.28|0.14|0.14|
SU2388||0.13||0.13|0.13
SU2389||0.12|||0.12
SU2390||0.08|0.34||
SU2601|1.42|1.42|1.77||
SU2602||0.56|||
SU2603|||1.01||
SU2604||0.62|||1.24
SU2605|0.40|||0.40|0.40
SU2611||||0.75|
SU2632|1.00|||0.50|
SU2633|0.36||||
SU2634|||||0.15
SU2635||0.14||0.14|
SU2641||0.50|||
SU2901|0.06|0.12|0.06||0.06
SU2904||0.11|0.11||0.11
SU2905||||0.09|
SU2909||0.16|||0.08
SU2911|||0.27||
SU2913||0.12|0.06||0.12
SU2914|0.22|0.22|0.11|0.11|
SU2915||0.40|0.50||
SU2919|0.48|0.24|1.68||
SU2920|||||0.20
SU2921|||0.49||
SU2922||0.23|||
SU2924|||||0.14
SU2925|||0.25||0.25
SU2937||0.12|||
SU2944|0.16|0.33|0.08||
SU2945||0.16|||
SU2962||0.11|0.11||0.05
SU2964|||0.14||0.14
SU3006||0.14|||
SU3008|||||0.14
SU3016|||||0.06
SU3018||0.07|||0.07
SU3023|||||0.09
SU3026|0.06|0.06|||0.12
SU3027||0.69|0.69||0.34
SU3028|0.09||0.18||
SU3032||0.10|||0.10
SU3033||0.15|||
SU3034||0.22|||0.22
SU3035|||||0.03
SU3036||0.07||0.07|0.21
SU3037|0.07||0.07||0.15
SU3038|0.07|||0.07|
SU3039||0.05|0.05|0.05|
SU3045|0.05|0.05||0.05|0.10
SU3046||||0.04|0.04
SU3047|||||0.07
SU3051|||||0.03
SU3053||||0.14|0.07
SU3055|||||0.04
SU3056||0.05|||0.10
SU3057|||||0.09
SU3058||0.13|0.26||0.13
SU3059|||0.06||0.02
SU3060||0.05|||0.02
SU3061|||||0.03
SU3062|||0.04|0.04|
SU3063|||||0.03
SU3064||0.03|||
SU3067|0.06||||
SU3069||||0.05|
SU3070|||||0.09
SU3073||0.15|0.15||
SU3074|0.23|0.11|||0.11
SU3079|||||0.06
SU3081|||||0.09
SU3083|||||0.06
SU3086||||0.06|
SU3087||0.43|||
SU3097||0.10||0.30|0.10
SU3098||||0.12|
SU3100|||0.27|1.37|
