ISZ|SIANo|SUNo|SumOfNoPieces|TypeChip|Type
Koutraphas||SU3074|1.00|Amp|NotDho
Koutraphas||SU3074|1.00|F-1|NotDho
Koutraphas||SU3074|1.00|F-3|NotDho
Koutraphas||SU3074|1.00|Gen|NotDho
Koutraphas||SU3079|1.00|Dho|Dho
Koutraphas||SU3081|1.00|Dho|Dho
Koutraphas||SU3083|1.00|Dho|Dho
Koutraphas||SU3086|1.00||NotDho
Koutraphas||SU3087|1.00|Dis|NotDho
Koutraphas||SU3087|1.00|PRj|NotDho
Koutraphas||SU3087|1.00|Tes|NotDho
Extensive||SU3097|3.00||NotDho
Extensive||SU3097|1.00|Amp|NotDho
Extensive||SU3097|1.00|Cav|NotDho
Extensive||SU3098|1.00||NotDho
Extensive||SU3100|5.00||NotDho
Extensive||SU3100|1.00|Chu|NotDho
||SU3200|1.00||NotDho
