ISZ|SIANo|SUNo|SumOfNoPieces|TypeChip|Type
Xyliatos|TS02|SU1648|1.00|Gen|NotDho
Xyliatos|TS02|SU1648|1.00|Notsing|NotDho
Xyliatos|TS02|SU1649|2.00|BlFr|NotDho
Xyliatos|TS02|SU1649|2.00|Ch-2|NotDho
Xyliatos|TS02|SU1649|1.00|Ch-3|NotDho
Xyliatos|TS02|SU1649|3.00|Chu|NotDho
Xyliatos|TS02|SU1649|1.00|ReS|NotDho
Xyliatos|TS02|SU1650|1.00|Amp|NotDho
Xyliatos|TS02|SU1650|1.00|Ch-1|NotDho
Xyliatos|TS02|SU1650|1.00|Chu|NotDho
Xyliatos|TS02|SU1650|1.00|Gen|NotDho
Xyliatos|TS02|SU1650|1.00|Notdb|NotDho
Xyliatos|TS02|SU1650|1.00|Sid|NotDho
Xyliatos|TS02|SU1651|1.00||NotDho
Xyliatos|TS02|SU1651|2.00|BlFr|NotDho
Xyliatos|TS02|SU1651|1.00|Ch-1|NotDho
Xyliatos|TS02|SU1651|2.00|Ch-2|NotDho
Xyliatos|TS02|SU1651|3.00|Ch-3|NotDho
Xyliatos|TS02|SU1651|9.00|Chu|NotDho
Xyliatos|TS02|SU1651|3.00|Dho|Dho
Xyliatos|TS02|SU1651|1.00|F-2|NotDho
Xyliatos|TS02|SU1651|7.00|Gen|NotDho
Xyliatos|TS02|SU1651|1.00|Notsing|NotDho
Xyliatos|TS02|SU1651|2.00|PRj|NotDho
Xyliatos|TS10|SU1652|2.00||NotDho
Xyliatos|TS10|SU1652|1.00|Abr|NotDho
Xyliatos|TS10|SU1652|1.00|BlFr|NotDho
Xyliatos|TS10|SU1652|5.00|Chu|NotDho
Xyliatos|TS10|SU1653|1.00||NotDho
Xyliatos|TS10|SU1653|1.00|F-3|NotDho
Xyliatos|TS10|SU1654|2.00||NotDho
Xyliatos|TS10|SU1654|1.00|Abr|NotDho
Xyliatos|TS10|SU1654|3.00|Chu|NotDho
Xyliatos|TS10|SU1654|1.00|F-1|NotDho
Xyliatos|TS10|SU1654|1.00|F-2|NotDho
Xyliatos|TS10|SU1654|1.00|Frg|NotDho
Xyliatos|TS10|SU1655|1.00|Ch-3|NotDho
Xyliatos|TS10|SU1655|3.00|Chu|NotDho
Xyliatos|TS10|SU1656|1.00|Abr|NotDho
Xyliatos|TS10|SU1656|7.00|Chu|NotDho
Xyliatos|TS10|SU1657|3.00||NotDho
Xyliatos|TS10|SU1657|4.00|BlFr|NotDho
Xyliatos|TS10|SU1657|1.00|Ch-1|NotDho
Xyliatos|TS10|SU1657|4.00|Chu|NotDho
Xyliatos|TS10|SU1657|1.00|F-2|NotDho
Xyliatos|TS10|SU1658|1.00|BlFr|NotDho
Xyliatos|TS10|SU1658|2.00|Chu|NotDho
Xyliatos|TS10|SU1658|1.00|Dho|Dho
Xyliatos|TS10|SU1658|1.00|Gen|NotDho
Xyliatos|TS10|SU1658|1.00|Sid|NotDho
Xyliatos|TS10|SU1659|1.00|BlFr|NotDho
Xyliatos|TS10|SU1659|1.00|Ch-2|NotDho
Xyliatos|TS10|SU1659|1.00|Chu|NotDho
Xyliatos|TS10|SU1660|1.00||NotDho
Xyliatos|TS10|SU1660|1.00|BlFr|NotDho
Xyliatos|TS10|SU1660|1.00|Sid|NotDho
Xyliatos|TS10|SU1661|1.00|Gen|NotDho
Xyliatos|TS10|SU1662|1.00|Gen|NotDho
Xyliatos|TS10|SU1664|2.00||NotDho
Xyliatos|TS10|SU1666|1.00||NotDho
Xyliatos|TS10|SU1666|1.00|Gen|NotDho
Xyliatos|TS10|SU1666|1.00|Spl|NotDho
Xyliatos||SU1667|1.00|BlFr|NotDho
Xyliatos||SU1667|1.00|Gen|NotDho
Xyliatos||SU1668|1.00||NotDho
Xyliatos||SU1668|3.00|Chu|NotDho
Xyliatos||SU1668|1.00|F-1|NotDho
Xyliatos||SU1668|1.00|F-2|NotDho
Xyliatos||SU1669|1.00|Dho|Dho
Xyliatos||SU1669|2.00|Gen|NotDho
Xyliatos||SU1669|1.00|PRj|NotDho
Xyliatos||SU1673|1.00|Chu|NotDho
Xyliatos||SU1673|1.00|Sin|NotDho
Xyliatos||SU1673|1.00|Tes|NotDho
Xyliatos|TS10|SU1676|2.00||NotDho
Xyliatos|TS10|SU1676|1.00|Bor|NotDho
Xyliatos|TS10|SU1676|1.00|Ch-1|NotDho
Xyliatos|TS10|SU1676|3.00|Chu|NotDho
Xyliatos|TS10|SU1676|1.00|Gen|NotDho
Xyliatos|TS10|SU1676|1.00|Mix|NotDho
Xyliatos|TS10|SU1676|1.00|Psq|NotDho
Xyliatos|TS10|SU1676|1.00|Tes|NotDho
Xyliatos|TS10|SU1677|3.00||NotDho
Xyliatos|TS10|SU1677|1.00|Abr|NotDho
Xyliatos|TS10|SU1677|2.00|Amp|NotDho
Xyliatos|TS10|SU1677|1.00|BlFr|NotDho
Xyliatos|TS10|SU1677|12.00|Chu|NotDho
Xyliatos|TS10|SU1677|1.00|Dho|Dho
Xyliatos|TS10|SU1677|2.00|F-2|NotDho
Xyliatos|TS10|SU1677|5.00|Frg|NotDho
Xyliatos|TS10|SU1677|1.00|Ham|NotDho
Xyliatos|TS10|SU1677|2.00|Tes|NotDho
Xyliatos|TS10|SU1679|1.00|Gen|NotDho
Xyliatos|TS10|SU1680|1.00|Abr|NotDho
Xyliatos|TS10|SU1684|1.00||NotDho
Xyliatos|TS10|SU1687|1.00|Dho|Dho
Xyliatos|TS10|SU1688|1.00|Abr|NotDho
Xyliatos|TS10|SU1688|1.00|Chu|NotDho
Xyliatos|TS02|SU1690|1.00|Amp|NotDho
Xyliatos|TS02|SU1690|4.00|Chu|NotDho
Xyliatos|TS02|SU1690|1.00|F-2|NotDho
Xyliatos|TS02|SU1690|1.00|F-3|NotDho
Xyliatos|TS02|SU1690|5.00|Frg|NotDho
Xyliatos|TS02|SU1690|1.00|Gen|NotDho
Xyliatos|TS02|SU1690|4.00|Tes|NotDho
Xyliatos|TS02|SU1691|1.00||NotDho
Xyliatos|TS02|SU1691|1.00|Amp|NotDho
Xyliatos|TS02|SU1691|1.00|Ch-1|NotDho
Xyliatos|TS02|SU1691|4.00|Chu|NotDho
Xyliatos|TS02|SU1691|1.00|Dis|NotDho
Xyliatos|TS02|SU1691|3.00|F-2|NotDho
Xyliatos|TS02|SU1691|4.00|Frg|NotDho
Xyliatos|TS02|SU1692|1.00|Amp|NotDho
Xyliatos|TS02|SU1692|1.00|Cof|NotDho
Xyliatos|TS02|SU1692|2.00|F-2|NotDho
Xyliatos|TS02|SU1692|2.00|F-3|NotDho
Xyliatos|TS02|SU1692|2.00|Gen|NotDho
Xyliatos|TS02|SU1693|1.00|Chu|NotDho
Xyliatos|TS02|SU1693|1.00|F-2|NotDho
Xyliatos|TS02|SU1693|1.00|F-3|NotDho
Xyliatos|TS02|SU1693|2.00|Gen|NotDho
Xyliatos|TS02|SU1694|1.00||NotDho
Xyliatos|TS02|SU1694|2.00|Ch-3|NotDho
Xyliatos|TS02|SU1694|1.00|Cof|NotDho
Xyliatos|TS02|SU1694|2.00|F-2|NotDho
Xyliatos|TS02|SU1694|1.00|Gen|NotDho
Xyliatos|TS02|SU1695|1.00||NotDho
Xyliatos|TS02|SU1695|1.00|Amp|NotDho
Xyliatos|TS02|SU1695|2.00|BlFr|NotDho
Xyliatos|TS02|SU1695|1.00|Ch-3|NotDho
Xyliatos|TS02|SU1695|1.00|Chu|NotDho
Xyliatos|TS02|SU1695|1.00|F-1|NotDho
Xyliatos|TS02|SU1695|3.00|F-2|NotDho
Xyliatos|TS02|SU1695|2.00|Gen|NotDho
Xyliatos|TS02|SU1695|1.00|PRj|NotDho
Xyliatos|TS02|SU1696|1.00|Chu|NotDho
Xyliatos|TS02|SU1697|2.00|BlFr|NotDho
Xyliatos|TS02|SU1697|7.00|Chu|NotDho
Xyliatos|TS02|SU1697|1.00|F-2|NotDho
Xyliatos|TS02|SU1697|3.00|Frg|NotDho
Xyliatos|TS02|SU1697|2.00|SpP|NotDho
Xyliatos|TS02|SU1698|3.00||NotDho
Xyliatos|TS02|SU1698|1.00|Chu|NotDho
Xyliatos|TS02|SU1699|1.00|Abr|NotDho
Xyliatos|TS02|SU1699|1.00|Dih|NotDho
Xyliatos|TS02|SU1699|1.00|Gen|NotDho
Xyliatos|TS02|SU1699|1.00|Psq|NotDho
Xyliatos|TS02|SU1700|1.00|Chu|NotDho
Xyliatos|TS02|SU1700|2.00|Gen|NotDho
Xyliatos|TS02|SU1701|1.00||NotDho
Xyliatos|TS02|SU1702|1.00||NotDho
Xyliatos|TS02|SU1702|1.00|Gen|NotDho
Xyliatos|TS02|SU1703|1.00||NotDho
Xyliatos|TS02|SU1703|1.00|BlFr|NotDho
Xyliatos|TS02|SU1706|1.00|Dho|Dho
Xyliatos|TS02|SU1706|1.00|Tes|NotDho
Xyliatos|TS02|SU1707|1.00|Chu|NotDho
Xyliatos|TS02|SU1707|1.00|Frg|NotDho
Xyliatos|TS02|SU1707|1.00|Gen|NotDho
Xyliatos|TS02|SU1708|2.00|Chu|NotDho
Xyliatos|TS02|SU1708|2.00|F-2|NotDho
Xyliatos|TS02|SU1708|1.00|Gen|NotDho
Xyliatos|TS02|SU1708|1.00|Notsing|NotDho
Xyliatos|TS02|SU1709|2.00|Chu|NotDho
Extensive||SU1908|1.00|Amp|NotDho
Extensive||SU1908|1.00|BlFr|NotDho
Extensive||SU1908|1.00|F-1|NotDho
Extensive||SU1908|1.00|Mix|NotDho
Extensive||SU1909|1.00||NotDho
Extensive||SU1911|1.00|BlFr|NotDho
Extensive||SU1911|1.00|Tes|NotDho
Extensive||SU1912|1.00||NotDho
Extensive||SU1913|1.00||NotDho
Extensive||SU1913|1.00|Gen|NotDho
Atsas||SU1915|1.00||NotDho
Atsas||SU1915|1.00|Dentalt|NotDho
Atsas||SU1915|1.00|Psq|NotDho
Atsas||SU1917|1.00||NotDho
Atsas||SU1920|2.00|Dho|Dho
Karkotis|TS04|SU2002|1.00||NotDho
Karkotis|TS04|SU2004|2.00||NotDho
Karkotis|TS06|SU2006|10.00||NotDho
Karkotis|TS06|SU2006|1.00|Ham|NotDho
Karkotis|TS06|SU2012|10.00||NotDho
Karkotis|TS06|SU2012|1.00|Ham|NotDho
Karkotis|TS04|SU2015|1.00|Frg|NotDho
Karkotis|TS04|SU2016|3.00|Dho|Dho
Karkotis|TS04|SU2016|1.00|Gen|NotDho
Karkotis|TS04|SU2017|1.00|BlFr|NotDho
Karkotis|TS04|SU2017|1.00|Dho|Dho
Karkotis|TS04|SU2017|1.00|Gen|NotDho
Karkotis|TS04|SU2017|1.00|Notsing|NotDho
Karkotis|TS04|SU2021|1.00||NotDho
Karkotis|TS07|SU2024|1.00|Amp|NotDho
Karkotis|TS07|SU2024|1.00|Dho|Dho
Karkotis||SU2027|1.00|Rec|NotDho
Karkotis||SU2028|1.00|Alt|NotDho
Karkotis||SU2028|1.00|Cha|NotDho
Karkotis||SU2028|3.00|Chu|NotDho
Karkotis||SU2028|1.00|F-2|NotDho
Karkotis||SU2028|1.00|Frg|NotDho
Karkotis||SU2028|1.00|Tes|NotDho
Karkotis||SU2029|1.00||NotDho
Karkotis||SU2029|1.00|Chu|NotDho
Karkotis||SU2029|2.00|F-2|NotDho
Karkotis||SU2029|1.00|F-3|NotDho
Karkotis||SU2029|1.00|Frg|NotDho
Karkotis||SU2029|1.00|Tes|NotDho
Karkotis||SU2030|2.00|Chu|NotDho
Karkotis||SU2030|1.00|F-2|NotDho
Karkotis||SU2030|1.00|Ham|NotDho
Karkotis||SU2031|1.00|COF|NotDho
Karkotis||SU2031|1.00|Frg|NotDho
Karkotis||SU2031|1.00|Tes|NotDho
Karkotis||SU2033|1.00|F-3|NotDho
Karkotis||SU2034|1.00|Amp|NotDho
Karkotis||SU2034|2.00|BlFr|NotDho
Karkotis||SU2034|3.00|Cha|NotDho
Karkotis||SU2034|2.00|Chu|NotDho
Karkotis||SU2034|2.00|F-2|NotDho
Karkotis||SU2034|1.00|F-3|NotDho
Karkotis||SU2037|1.00|B-2|NotDho
Karkotis||SU2037|3.00|Chu|NotDho
Karkotis||SU2037|1.00|Tes|NotDho
Karkotis||SU2041|1.00|Chu|NotDho
Karkotis||SU2042|1.00|PRj|NotDho
Karkotis||SU2046|1.00||NotDho
Karkotis||SU2050|2.00|Chu|NotDho
Karkotis||SU2052|1.00|Frg|NotDho
Karkotis||SU2053|1.00|Chu|NotDho
Karkotis||SU2056|2.00|Chu|NotDho
Karkotis||SU2056|1.00|Frg|NotDho
Karkotis||SU2056|1.00|Tes|NotDho
Karkotis||SU2057|1.00|Chu|NotDho
Karkotis||SU2058|1.00|F-3|NotDho
Karkotis||SU2060|2.00||NotDho
Karkotis||SU2064|1.00|Chu|NotDho
Karkotis||SU2064|1.00|Dho|Dho
Karkotis||SU2066|1.00|F-2|NotDho
Karkotis||SU2068|1.00|Chu|NotDho
Karkotis||SU2068|1.00|Tes|NotDho
Karkotis||SU2069|1.00|Amp|NotDho
Karkotis||SU2069|1.00|Cha|NotDho
Karkotis||SU2069|1.00|Spl|NotDho
Karkotis||SU2069|1.00|Tes|NotDho
Karkotis||SU2070|1.00|Chu|NotDho
Karkotis||SU2070|1.00|Dho|Dho
Karkotis|TS06|SU2078|3.00||NotDho
Karkotis|TS06|SU2078|1.00|Chu|NotDho
Karkotis|TS06|SU2082|1.00|F-2|NotDho
Karkotis|TS06|SU2083|9.00||NotDho
Karkotis|TS06|SU2085|3.00||NotDho
Karkotis|TS06|SU2085|1.00|Chu|NotDho
Karkotis|TS06|SU2085|1.00|Gen|NotDho
Karkotis|TS06|SU2085|1.00|Vex|NotDho
Atsas||SU2096|1.00|F-1|NotDho
Karkotis|TS06|SU2104|14.00||NotDho
Karkotis|TS06|SU2104|1.00|BlFr|NotDho
Karkotis|TS06|SU2104|2.00|Cha|NotDho
Karkotis|TS06|SU2104|1.00|COF|NotDho
Karkotis|TS06|SU2104|1.00|Tes|NotDho
Atsas||SU2105|1.00|F-2|NotDho
Atsas||SU2117|1.00|F-2|NotDho
Karkotis|TS15|SU2131|1.00|BlFr|NotDho
Karkotis|TS15|SU2131|1.00|Cha|NotDho
Karkotis|TS15|SU2134|1.00|F-2|NotDho
Karkotis|TS15|SU2134|1.00|PRj|NotDho
Karkotis|TS15|SU2135|1.00|Tes|NotDho
Karkotis|TS15|SU2138|1.00|Chu|NotDho
Karkotis|TS15|SU2139|1.00|Chu|NotDho
Atsas||SU2148|1.00|Chu|NotDho
Atsas||SU2151|1.00|Tes|NotDho
Atsas|TS18|SU2162|1.00||NotDho
Atsas||SU2171|2.00||NotDho
Atsas||SU2172|1.00|Gen|NotDho
Atsas||SU2173|1.00|Dho|Dho
Atsas||SU2173|1.00|Gen|NotDho
Atsas||SU2175|1.00|Ch-3|NotDho
Atsas||SU2176|1.00|Chu|NotDho
Atsas||SU2176|1.00|PRj|NotDho
Atsas||SU2177|1.00|Amp|NotDho
Atsas||SU2177|1.00|BlFr|NotDho
Atsas||SU2177|1.00|Cha|NotDho
Atsas||SU2178|1.00|Amp|NotDho
Atsas||SU2180|2.00|Chu|NotDho
Atsas||SU2182|1.00|Chu|NotDho
Atsas|TS20|SU2187|1.00||NotDho
Atsas|TS20|SU2187|1.00|Amp|NotDho
Atsas|TS20|SU2187|3.00|BlFr|NotDho
Atsas|TS20|SU2187|1.00|Chu|NotDho
Atsas|TS20|SU2187|1.00|Gen|NotDho
Atsas|TS20|SU2187|1.00|Not+ret|NotDho
Atsas|TS20|SU2187|1.00|Rec|NotDho
Karkotis|TS09|SU2189|1.00||NotDho
Karkotis|TS09|SU2190|1.00|Frg|NotDho
Asinou|TS08|SU2304|2.00||NotDho
Koutraphas||SU2384|3.00||NotDho
Koutraphas||SU2384|1.00|Chu|NotDho
Koutraphas||SU2385|5.00||NotDho
Koutraphas||SU2385|3.00|Chu|NotDho
Koutraphas||SU2385|2.00|Gen|NotDho
Koutraphas||SU2386|10.00||NotDho
Koutraphas||SU2386|1.00|Amp|NotDho
Koutraphas||SU2386|1.00|F-2|NotDho
Koutraphas||SU2387|3.00||NotDho
Koutraphas||SU2387|2.00|Amp|NotDho
Koutraphas||SU2387|1.00|Chu|NotDho
Koutraphas||SU2388|6.00||NotDho
Koutraphas||SU2388|1.00|Bkcave|NotDho
Koutraphas||SU2388|1.00|Tes|NotDho
Koutraphas||SU2389|1.00||NotDho
Koutraphas||SU2389|1.00|Dho|Dho
Koutraphas||SU2389|1.00|Frg|NotDho
Koutraphas||SU2390|2.00||NotDho
Koutraphas||SU2390|1.00|Amp|NotDho
Koutraphas||SU2390|4.00|Chu|NotDho
Koutraphas||SU2391|2.00||NotDho
Xyliatos|TS05|SU2601|12.00||NotDho
Xyliatos|TS05|SU2601|3.00|BlFr|NotDho
Xyliatos|TS05|SU2601|2.00|Cha|NotDho
Xyliatos|TS05|SU2601|1.00|F-1|NotDho
Xyliatos|TS05|SU2601|3.00|F-2|NotDho
Xyliatos|TS05|SU2601|4.00|Tes|NotDho
Xyliatos|TS05|SU2602|2.00|Tes|NotDho
Xyliatos|TS05|SU2603|1.00|BlFr|NotDho
Xyliatos|TS05|SU2603|1.00|Chu|NotDho
Xyliatos|TS05|SU2604|1.00|Amp|NotDho
Xyliatos|TS05|SU2604|1.00|Dho|Dho
Xyliatos|TS05|SU2604|1.00|Vex|NotDho
Xyliatos|TS05|SU2605|1.00||NotDho
Xyliatos|TS05|SU2605|1.00|F-1|NotDho
Xyliatos|TS05|SU2605|1.00|Gen|NotDho
Xyliatos|TS05|SU2606|1.00|Chu|NotDho
Xyliatos|TS05|SU2606|1.00|F-2|NotDho
Xyliatos||SU2607|1.00|BlFr|NotDho
Xyliatos||SU2607|1.00|F-2|NotDho
Xyliatos||SU2611|1.00||NotDho
Xyliatos|TS05|SU2632|2.00||NotDho
Xyliatos|TS05|SU2632|1.00|Ch-3|NotDho
Xyliatos|TS05|SU2632|1.00|F-2|NotDho
Xyliatos|TS05|SU2633|2.00||NotDho
Xyliatos|TS05|SU2633|1.00|F-3|NotDho
Xyliatos|TS05|SU2634|1.00|Gen|NotDho
Xyliatos|TS05|SU2635|1.00||NotDho
Xyliatos|TS05|SU2635|1.00|Frg|NotDho
Xyliatos|TS05|SU2641|2.00||NotDho
Xyliatos|TS05|SU2641|1.00|Amp|NotDho
Xyliatos|TS05|SU2642|1.00||NotDho
Xyliatos|TS05|SU2642|1.00|F-2|NotDho
Xyliatos|TS05|SU2643|1.00||NotDho
Xyliatos|TS05|SU2643|1.00|Dir|NotDho
Xyliatos|TS05|SU2643|1.00|F-1|NotDho
Xyliatos|TS05|SU2647|1.00||NotDho
Xyliatos|TS05|SU2655|1.00|Alt|NotDho
Extensive||SU2901|3.00||NotDho
Extensive||SU2901|1.00|Alt|NotDho
Extensive||SU2901|1.00|BlFr|NotDho
Extensive||SU2901|1.00|F-1|NotDho
Extensive||SU2901|1.00|Gen|NotDho
Extensive||SU2901|1.00|Tes|NotDho
Extensive||SU2904|1.00|Chu|NotDho
Extensive||SU2904|1.00|Frg|NotDho
Extensive||SU2904|1.00|Gen|NotDho
Extensive||SU2905|1.00||NotDho
Extensive||SU2909|2.00||NotDho
Extensive||SU2909|1.00|Frg|NotDho
Extensive||SU2909|1.00|Gen|NotDho
