SUNo|Dho|Fla|Uti
SU3032||1.00|
SU3032|||1.00
SU3033||1.00|
SU3034||1.00|
SU3036|1.00||
SU3037|||1.00
SU3037|||1.00
SU3045||1.00|
SU3046|||1.00
SU3047|||2.00
SU3053|||1.00
SU3055|||1.00
SU3056|||1.00
SU3057|||1.00
SU3058|||1.00
SU3058||1.00|
SU3059|||1.00
SU3060|||1.00
SU3060||1.00|
SU3060||1.00|
SU3061|||1.00
SU3064||1.00|
SU3073||1.00|
SU3074||1.00|
SU3074|||1.00
SU3079|1.00||
SU3081|1.00||
SU3083|1.00||
SU3087||1.00|
SU3087||1.00|
SU3097||1.00|
